language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
kamw1239,-,g,a,-,-,-,-,-,-,t,-,-,o,-,-,-
nyim1251,n,g,a,r,-,-,-,-,-,s,-,-,a,n,-,-
muya1243,-,b,o,-,-,-,-,-,-,f,-,-,3,N,-,-
muya1243,-,b,o,-,-,-,-,-,-,f,-,-,3,N,-,-
muya1243,-,-,-,-,-,-,-,-,-,L,-,-,i,r,-,i
wuzl1236,-,p,a,-,-,-,-,-,-,h,-,-,o,N,v,o
dugw1239,-,m,3,d,-,a,-,-,-,L,-,-,a,r,-,-
gemz1238,-,m,e,d,-,3,-,-,-,L,-,-,a,y,-,-
gemz1238,-,p,a,-,-,a,-,-,-,n,-,-,a,b,-,a
mbuk1243,-,-,-,d,-,a,-,-,-,L,-,-,a,n,-,-
nort3047,-,-,-,-,-,-,-,-,-,L,i,-,i,s,-,-
cuvo1236,-,-,-,-,-,-,-,-,-,L,-,-,a,r,-,a
buwa1243,-,-,-,-,-,-,-,-,-,m,-,-,o,r,-,-
gava1241,-,-,-,-,-,-,-,-,-,g,-,-,o,-,-,-
gava1241,-,-,-,-,-,-,-,-,-,b,-,-,3,l,-,-
gava1241,-,-,-,d,-,i,-,-,-,w,-,-,-,-,-,-
gava1241,-,-,-,t,s,o,-,-,-,k,-,-,o,-,-,-
mbed1242,-,-,-,l,-,a,y,-,-,m,-,-,a,r,t,a
mofu1248,-,-,-,-,-,-,-,-,-,L,-,-,-,-,-,-
budu1265,-,-,-,T,-,u,-,-,-,-,-,-,3,l,-,-
kanu1281,-,b,a,d,-,i,n,-,-,g,-,-,i,n,-,-
lagw1237,-,-,-,L,-,u,n,-,-,h,-,-,e,-,-,-
mser1242,-,-,-,s,-,a,-,-,-,k,-,-,a,y,-,-
afad1236,-,-,-,t,-,a,-,-,-,h,-,-,e,-,-,-
mpad1242,-,-,-,h,-,3,n,-,-,b,a,d,i,-,-,-
malg1250,-,-,-,h,-,3,n,d,3,b,a,d,3,-,-,-
chad1249,-,-,-,-,-,-,-,-,-,b,a,d,a,-,-,-
zina1234,-,-,-,y,-,i,k,-,-,w,a,f,i,-,-,-
