language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
nyim1251,-,-,-,-,-,-,-,-,s,u,g,-,-,u,-,d,y,i
dugw1239,-,-,-,-,-,-,-,-,-,-,w,-,-,a,-,d,-,-
dugw1239,-,-,-,-,t,-,-,e,s,e,v,-,-,e,-,-,-,-
mere1246,-,-,-,-,t,-,-,e,s,e,v,-,-,e,-,-,-,-
mere1246,-,-,-,-,t,-,-,e,s,e,f,-,-,e,-,y,-,-
gemz1238,-,k,w,e,t,-,-,e,s,-,-,-,-,-,-,-,-,-
gemz1238,-,k,w,3,t,-,-,e,s,-,-,-,-,-,-,-,-,-
nort3047,-,-,-,-,k,-,-,o,T,-,-,-,-,a,-,y,-,-
cuvo1236,-,-,-,-,-,-,-,-,h,-,w,-,-,a,-,d,-,-
buwa1243,-,-,-,-,d,3,m,o,s,-,-,-,-,-,-,-,-,-
gava1241,s,k,-,o,d,3,m,3,s,-,-,-,-,-,-,-,-,-
mbed1242,-,-,-,-,d,3,m,3,s,-,-,-,-,-,-,-,-,-
lagw1237,-,-,n,-,-,-,-,-,-,-,g,-,-,u,-,n,-,-
mser1242,-,-,n,-,-,-,-,-,-,-,g,-,-,u,-,n,-,-
afad1236,-,-,b,i,t,-,-,-,s,i,b,-,-,i,t,s,-,i
mpad1242,-,-,m,-,-,-,-,-,-,-,b,-,-,u,-,l,-,u
maje1243,-,-,-,-,-,-,-,-,-,-,b,3,y,3,-,n,-,e
