language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
kamw1239,-,-,m,d,i,-,g,u,l,3,-,-,-,-,-,-
nyim1251,-,-,p,-,u,-,g,u,-,m,-,-,-,-,-,-
vame1236,-,-,-,-,-,-,g,u,l,a,f,-,-,-,-,-
dugw1239,-,-,n,d,a,w,g,u,l,o,f,-,a,r,a,y
mere1246,-,-,-,-,-,-,g,u,l,u,f,-,-,-,-,-
gemz1238,-,-,-,-,-,-,g,u,l,o,f,-,-,-,-,-
nort3047,-,-,-,-,-,-,h,u,l,o,f,-,-,-,-,-
cuvo1236,-,-,m,-,a,-,h,a,L,a,w,-,-,-,-,-
buwa1243,-,-,-,-,-,-,-,u,l,o,f,-,-,-,-,-
gava1241,-,-,-,-,-,-,w,3,l,3,f,-,-,-,-,-
mbed1242,-,-,-,-,-,-,w,u,l,3,f,-,-,-,-,-
kanu1281,k,3,m,-,-,-,-,-,-,-,b,-,u,-,-,-
lagw1237,-,-,n,-,-,-,x,u,-,-,f,-,i,-,-,-
mser1242,-,-,n,-,-,-,g,w,-,a,f,-,3,-,-,-
mpad1242,-,-,m,-,-,-,-,-,-,a,p,-,u,-,-,-
malg1250,-,-,m,-,-,-,-,-,-,a,p,-,3,-,-,-
zina1234,-,-,-,-,-,-,g,w,-,a,y,r,a,-,-,-
marg1265,-,-,-,-,-,-,-,-,l,3,f,-,3,-,-,-
