language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
kamw1239,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,3,-
lama1288,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,3,-,-,l,-,-,b,a,-
nyim1251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,u,-,b,a,-
molo1266,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,a,g,3,l,-,-,-,a,-
dugw1239,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,a,-
mere1246,-,-,g,3,v,e,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gemz1238,-,-,-,-,m,a,t,o,m,b,o,l,o,m,k,3,-,-,L,-,-,-,a,m
mbuk1243,-,-,k,-,w,a,t,-,-,-,-,-,-,-,-,a,-,-,m,-,-,-,a,-
nort3047,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,a,-
cuvo1236,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,s,a,-,w,a,-
buwa1243,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,e,-,-,N,-,-,-,-,-
gava1241,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,e,-,-,Z,i,m,L,o,-
mbed1242,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,e,-,-,N,-,-,-,-,-
kanu1281,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,a,-
mser1242,-,-,k,-,-,-,7,-,-,-,-,-,-,-,-,3,-,-,r,-,-,-,a,w
mser1242,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,a,-
mpad1242,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,a,-
mpad1242,-,-,-,-,-,-,m,-,-,b,-,-,-,-,-,3,-,-,l,-,-,y,o,-
malg1250,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,a,-
malg1250,b,u,g,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
chad1249,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,a,-
zina1234,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,a,-
maje1243,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,T,-,-,-,a,-
maje1243,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,T,-,-,-,a,-
haus1257,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,a,-
