language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
molo1266,-,-,-,-,-,s,3,-,l,e,w,k,-
wuzl1236,-,-,-,-,-,s,3,-,l,a,-,k,w
dugw1239,-,-,-,-,-,s,3,-,l,e,u,k,-
mere1246,-,-,-,-,-,s,u,-,l,o,-,k,-
nort3047,-,-,-,-,-,s,u,-,l,e,-,k,-
mbuk1243,-,-,-,-,-,s,3,-,r,o,-,k,-
cuvo1236,-,-,-,-,-,s,a,m,b,a,-,k,-
buwa1243,m,-,s,-,-,l,o,-,d,-,-,-,-
gava1241,N,-,k,3,-,L,3,-,d,-,-,-,-
mbed1242,N,-,g,3,-,L,3,-,d,-,-,-,-
kamw1239,-,-,-,-,-,S,i,-,m,e,-,-,-
psik1239,-,-,-,-,-,S,i,-,m,u,-,-,-
suku1272,-,-,-,-,-,s,3,-,b,3,-,k,-
lagw1237,m,3,S,i,-,S,i,-,-,-,-,-,-
mser1242,m,-,S,i,-,S,i,-,-,-,-,-,-
afad1236,w,-,-,3,t,s,o,-,-,-,-,-,-
mpad1242,w,-,-,o,-,s,o,-,-,-,-,-,-
malg1250,w,-,-,a,-,L,3,-,-,-,-,-,-
bata1314,-,-,-,-,-,-,-,-,p,e,-,k,e
chad1249,m,u,g,-,-,T,a,-,T,e,-,-,-
