language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
muya1243,s,-,3,-,s,-,-,-,-,3,-,n,d,-,-,-,o,-,-,y,-
wuzl1236,m,-,3,-,z,-,-,-,-,u,-,k,t,-,-,-,a,-,-,r,-
vame1236,m,-,3,-,d,-,-,-,-,3,-,-,r,-,m,b,3,-,-,k,e
dugw1239,m,-,3,-,t,-,-,-,-,o,-,-,l,-,-,-,o,-,-,-,-
mere1246,m,-,a,-,t,-,-,-,-,a,-,-,l,-,-,-,o,-,-,-,-
nort3047,m,-,o,-,t,-,-,-,-,o,-,-,l,-,-,-,o,-,-,-,-
cuvo1236,g,-,a,n,d,-,-,-,-,3,-,-,r,-,L,-,a,-,-,y,-
buwa1243,d,-,o,n,d,-,-,-,-,3,-,-,r,-,-,-,o,k,-,w,-
gava1241,d,-,o,n,d,-,-,-,-,-,-,-,r,-,-,-,3,k,o,w,-
lagw1237,g,-,3,-,l,a,n,d,-,3,-,-,r,-,m,-,a,-,-,-,-
mser1242,m,-,a,-,s,a,n,s,w,a,-,-,l,-,-,-,e,-,-,-,-
mpad1242,-,-,a,-,S,a,n,-,-,a,-,-,S,i,m,-,u,-,-,-,-
malg1250,g,-,u,-,l,u,l,-,-,-,-,-,-,-,-,-,u,-,-,-,-
mbar1260,m,-,a,-,s,-,-,-,-,i,-,-,l,-,-,-,a,-,-,m,-
bata1314,n,d,a,n,d,-,-,-,-,u,u,n,g,-,t,-,o,-,-,-,-
