language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
kamw1239,-,-,-,b,-,-,-,e,l,-,-,-,i,-
nyim1251,-,-,-,m,e,k,h,a,r,-,-,-,-,-
molo1266,-,-,-,-,-,-,m,a,g,-,-,-,a,T
wuzl1236,-,-,-,d,-,-,z,a,l,-,-,-,a,N
vame1236,-,-,-,-,-,-,h,3,r,-,-,g,e,n
dugw1239,-,-,-,g,3,-,g,e,r,-,-,-,e,-
dugw1239,-,-,-,g,3,-,g,e,r,-,-,-,e,-
mere1246,-,-,-,g,e,-,h,e,r,-,-,-,-,-
mere1246,-,-,-,g,3,-,g,e,r,-,-,-,e,-
gemz1238,-,-,-,g,e,-,h,e,r,-,-,-,-,-
gemz1238,-,-,-,g,3,-,g,e,r,-,-,-,e,-
nort3047,-,-,-,-,-,-,L,e,l,-,-,-,e,k
cuvo1236,-,-,-,r,3,-,h,e,N,-,-,-,-,-
buwa1243,-,-,-,L,e,-,r,e,k,-,-,-,-,-
gava1241,-,-,-,g,u,-,Z,o,N,-,-,-,-,-
mbed1242,-,-,-,b,i,-,z,i,N,-,-,-,-,-
bald1241,-,-,-,l,i,-,k,i,N,-,-,-,-,-
mbar1260,-,-,-,-,-,-,h,i,r,-,-,d,a,N
lagw1237,-,-,n,k,-,-,7,3,n,-,-,-,i,-
mser1242,-,-,n,k,-,-,7,3,r,-,-,-,-,-
mpad1242,-,-,n,k,-,-,7,a,n,-,-,-,-,-
malg1250,-,-,n,k,-,-,7,3,n,-,-,-,-,-
masl1241,-,-,n,g,-,-,-,a,r,-,-,-,e,-
chad1249,x,a,n,f,-,-,-,a,r,-,-,-,-,-
dghw1239,-,-,-,x,-,-,-,-,r,t,i,k,e,-
