language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
muya1243,-,-,g,-,e,m,z,i,-,-,-,-,-,-,-,-,-
muya1243,-,-,-,-,e,-,l,i,b,-,-,-,i,-,L,-,-
wuzl1236,-,-,-,-,a,-,r,-,b,-,-,-,e,s,l,-,-
vame1236,-,-,d,-,a,-,r,k,w,-,-,-,a,-,-,-,-
dugw1239,-,-,-,-,a,-,-,-,d,-,-,-,o,-,d,o,-
nort3047,-,-,h,-,a,-,-,-,h,-,-,-,a,-,y,-,-
mbuk1243,-,-,d,-,u,-,-,-,d,-,-,-,-,-,-,o,-
mbuk1243,-,-,d,-,3,n,-,-,d,-,-,-,3,-,l,o,b
cuvo1236,-,-,r,-,3,-,-,-,b,-,-,-,a,-,L,-,-
buwa1243,-,-,d,-,3,-,-,-,r,-,-,-,e,-,s,-,-
gava1241,-,-,d,-,-,-,-,-,r,-,-,-,i,-,S,-,-
mbed1242,-,-,z,-,u,-,-,-,w,-,-,-,a,-,y,-,-
kamw1239,n,-,d,z,a,-,-,-,b,-,-,-,o,-,-,-,-
lagw1237,-,-,l,-,3,-,k,-,7,-,-,-,u,i,y,o,-
mser1242,m,a,r,-,-,-,-,-,-,-,-,-,u,-,r,u,-
afad1236,-,-,-,-,u,-,-,-,w,-,-,-,a,-,n,-,-
mpad1242,-,-,-,-,-,-,-,-,w,-,-,-,a,-,n,-,-
malg1250,-,-,l,-,3,-,k,-,7,-,-,-,3,-,d,i,-
maje1243,-,-,d,-,3,-,l,-,b,i,n,g,3,-,n,i,-
mbar1260,-,-,y,-,a,-,-,-,h,-,-,-,a,d,r,e,N
hwan1240,-,-,y,-,a,-,-,-,b,-,-,-,a,-,r,a,-
