language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
vame1236,-,-,v,a,-,-,l,-,-,-,-,-,-,a,-,k,-
dugw1239,-,-,g,a,-,-,l,-,-,-,-,-,-,a,-,-,-
mere1246,-,-,d,a,-,-,l,a,m,3,t,a,g,a,-,y,-
nort3047,-,-,r,a,-,-,h,-,-,-,-,-,-,a,-,y,-
mbuk1243,-,-,g,a,-,-,l,-,-,-,-,-,-,a,-,-,-
cuvo1236,-,-,z,a,-,-,N,-,-,-,t,a,w,a,-,y,-
mofu1248,-,-,-,a,-,m,b,-,-,-,-,-,-,a,-,w,-
buwa1243,-,-,v,o,-,-,r,-,-,-,-,-,v,o,-,r,o
buwa1243,-,-,t,o,-,m,t,-,-,-,-,-,-,o,-,r,-
mbed1242,-,-,p,a,-,-,l,-,-,-,-,-,-,a,h,g,e
kamw1239,-,-,k,i,-,-,g,-,-,-,-,-,-,o,-,-,-
lagw1237,n,-,g,u,-,-,l,-,-,-,-,-,g,u,-,z,e
mser1242,-,-,b,a,-,-,l,-,-,-,-,-,b,a,-,l,-
mpad1242,-,-,g,o,-,-,s,-,-,-,-,-,k,o,-,g,o
mpad1242,-,-,b,a,-,-,l,-,-,-,-,-,b,a,-,l,-
malg1250,m,g,b,3,-,-,r,-,-,-,-,-,-,a,-,-,-
maje1243,-,-,y,a,T,i,g,-,-,-,-,-,-,e,-,-,-
