language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
muya1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,o,s,o,-,-,y
wuzl1236,-,p,3,-,r,-,-,d,e,N,k,e,n,e,g,e,v,o,-,-,-
vame1236,-,p,3,-,r,-,-,d,-,-,-,-,-,-,-,i,y,a,-,-,-
dugw1239,-,m,a,-,l,i,y,d,-,-,-,-,-,-,-,3,l,a,-,-,-
mere1246,-,v,a,-,-,-,y,g,-,-,-,-,-,-,-,3,r,-,-,-,-
nort3047,-,h,i,-,l,a,y,-,-,-,-,-,-,-,-,i,p,-,-,-,-
mbuk1243,-,n,-,-,y,a,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-
mbuk1243,-,t,3,-,r,a,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-
cuvo1236,-,f,a,T,n,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-
buwa1243,-,b,-,-,-,o,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-
gava1241,-,b,-,-,-,o,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-
mbed1242,-,z,3,-,r,u,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-
kamw1239,-,k,u,-,-,-,-,t,-,-,-,-,-,-,-,3,-,-,-,-,-
lagw1237,u,s,3,-,l,-,-,-,-,-,-,-,-,-,-,-,w,u,-,-,n
mser1242,-,w,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
afad1236,-,h,a,-,-,-,-,g,-,-,-,-,-,-,-,3,b,e,-,-,-
mpad1242,-,h,3,-,n,-,n,g,-,-,-,-,-,-,-,3,b,e,-,-,-
mpad1242,-,h,3,-,n,-,m,-,-,-,-,-,-,-,-,a,d,a,-,-,-
malg1250,-,m,-,-,-,-,-,g,-,-,-,-,-,-,-,-,b,e,w,u,n
mbar1260,-,n,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,e,k,-,-
