language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
wuzl1236,-,-,-,-,m,3,-,t,a,-,-,-,-,-,t,a,-,s,-,-,-,l
vame1236,-,a,z,3,m,-,-,t,3,n,-,-,-,-,d,a,y,h,i,g,a,y
dugw1239,-,-,-,-,m,3,n,d,3,g,w,e,-,-,d,e,-,-,-,-,-,k
mere1246,-,-,-,-,m,a,-,z,3,r,m,3,m,a,d,-,-,-,-,-,-,-
nort3047,-,-,-,-,z,i,n,d,3,r,-,-,-,-,d,a,-,-,-,-,-,-
cuvo1236,-,-,-,-,m,a,-,z,a,r,-,-,-,-,d,a,-,-,-,-,-,y
buwa1243,-,-,-,-,z,o,-,z,-,r,-,o,-,-,d,-,-,-,-,-,-,-
gava1241,-,-,-,-,z,o,-,z,-,r,-,o,-,-,d,-,-,-,-,-,-,-
mbed1242,-,-,-,-,z,u,N,z,u,r,-,3,-,-,d,-,-,-,-,-,-,-
kamw1239,m,i,-,-,Z,e,n,d,3,r,-,a,-,-,d,i,-,-,-,-,-,-
lagw1237,-,-,-,-,-,-,-,t,3,l,-,-,-,-,d,i,-,-,-,-,-,-
mser1242,-,-,-,-,-,-,-,t,a,-,-,-,-,-,d,i,-,-,-,-,-,-
afad1236,-,-,-,-,-,-,-,d,3,-,-,-,-,-,d,i,-,-,-,-,-,-
mpad1242,-,-,-,-,-,-,-,d,3,-,-,-,-,-,s,e,-,-,-,-,-,-
malg1250,-,-,-,-,-,-,-,t,a,-,-,-,-,-,d,i,-,-,-,-,-,-
marg1265,-,-,-,-,-,-,-,s,i,-,-,-,-,-,d,3,-,-,-,-,-,m
bata1314,-,-,-,-,-,-,-,y,a,l,k,a,-,-,t,e,-,-,-,-,-,-
