language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
kamw1239,-,-,-,y,-,-,3,-,t,-,-,l,e,-,-
suku1272,-,-,n,d,a,N,a,-,-,-,-,L,a,y,-
nyim1251,-,-,n,g,a,r,a,-,-,-,-,l,-,-,-
molo1266,-,-,-,-,-,-,e,-,L,e,-,L,e,d,-
muya1243,-,-,-,-,-,-,e,-,y,-,-,L,i,-,-
muya1243,-,-,-,-,-,-,e,-,y,-,-,L,i,-,-
wuzl1236,-,-,-,L,-,-,a,-,s,-,-,l,a,y,-
vame1236,-,-,-,-,-,-,-,-,-,-,-,L,a,y,-
dugw1239,-,-,-,-,-,-,a,-,-,-,-,L,a,y,-
mere1246,-,-,-,d,-,-,3,-,-,-,-,L,e,-,-
mere1246,-,-,-,d,-,-,3,-,-,-,-,L,e,-,-
gemz1238,-,-,-,d,-,-,3,-,-,-,-,L,e,-,-
nort3047,-,-,a,t,-,-,e,-,-,-,-,L,-,-,-
cuvo1236,-,-,-,L,-,-,e,-,-,-,-,L,e,y,-
buwa1243,-,-,-,n,-,-,e,-,-,-,-,L,e,-,-
gava1241,-,-,o,n,-,-,s,-,-,-,-,l,i,-,-
mbed1242,-,-,-,m,-,-,i,-,-,-,-,L,i,d,-
bald1241,-,-,-,-,-,-,a,-,-,-,-,f,a,i,7
mbar1260,-,-,-,N,-,-,-,-,-,-,-,L,a,-,-
budu1265,-,-,-,-,-,-,-,-,-,a,m,b,a,y,-
kanu1281,-,-,-,-,-,-,-,n,g,3,-,w,u,l,-
lagw1237,-,-,-,-,-,-,-,n,s,-,-,l,3,-,-
mser1242,-,-,-,-,-,-,e,n,s,-,-,-,3,-,-
afad1236,-,-,-,-,-,-,e,n,s,-,-,l,o,-,-
mpad1242,-,-,-,-,-,-,e,n,S,-,-,-,o,-,-
malg1250,-,-,-,-,-,-,e,n,s,-,-,l,3,-,-
chad1249,-,-,-,b,-,-,e,-,d,-,-,-,-,-,-
zina1234,-,-,-,-,-,-,-,n,s,-,-,-,i,-,-
marg1265,-,-,-,-,-,-,i,-,h,-,-,y,i,-,-
bata1314,-,-,-,d,-,-,u,-,-,-,-,l,e,-,-
dghw1239,-,-,-,L,-,-,3,-,-,-,-,L,e,-,-
gaan1243,-,-,n,g,-,-,e,-,7,-,-,l,a,-,-
fula1264,r,e,n,d,-,-,e,-,-,-,-,r,e,-,-
