language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
kamw1239,-,-,-,-,-,n,-,t,s,i,-
suku1272,-,-,-,-,-,-,-,-,-,i,s
lama1288,-,-,-,-,i,l,-,-,-,i,-
nyim1251,-,-,-,-,-,y,i,t,-,i,-
molo1266,-,-,-,d,3,r,-,-,-,a,y
wuzl1236,-,-,-,-,a,r,-,-,-,a,y
vame1236,-,-,-,L,3,d,-,-,-,-,-
vame1236,-,-,-,-,a,r,-,-,-,a,y
dugw1239,-,-,-,d,3,r,-,-,-,a,y
dugw1239,-,-,-,-,-,r,-,-,-,e,-
mere1246,-,-,-,d,3,r,-,-,-,a,y
mere1246,-,-,-,d,3,r,-,-,-,e,-
gemz1238,-,-,-,-,e,r,-,-,-,e,-
gemz1238,-,-,-,d,3,r,-,-,-,a,y
mbuk1243,-,-,-,-,i,d,-,-,-,e,-
nort3047,-,-,-,-,-,r,-,-,-,e,-
cuvo1236,-,-,-,-,n,d,-,-,-,e,y
buwa1243,-,-,-,n,-,y,-,-,-,e,-
gava1241,-,-,-,n,-,y,-,-,-,o,-
mbed1242,m,b,u,n,d,Z,-,-,-,e,-
mofu1248,-,-,-,d,3,r,-,-,-,a,y
mofu1248,-,-,-,d,e,-,-,-,-,-,y
bald1241,-,-,-,-,a,r,-,-,-,a,y
budu1265,-,-,-,y,3,l,-,-,-,-,-
kanu1281,-,-,-,S,i,m,-,-,-,-,-
lagw1237,-,-,-,s,3,-,-,-,-,-,-
mser1242,-,-,-,s,3,-,-,-,-,-,-
afad1236,-,-,t,s,3,-,-,-,-,-,-
mpad1242,-,-,-,s,3,-,-,-,-,-,-
malg1250,-,-,-,s,3,-,-,-,-,-,-
masl1241,-,-,-,s,3,-,-,-,-,-,-
chad1249,-,-,-,-,e,n,-,-,-,-,-
zina1234,-,-,i,r,i,-,-,-,-,-,-
maje1243,-,-,a,d,e,-,-,-,-,-,-
marg1265,-,-,-,l,i,-,-,-,-,-,-
marg1266,-,-,-,l,i,-,-,-,-,-,-
bata1314,-,-,-,d,i,t,-,-,-,o,-
dghw1239,-,-,n,d,e,-,-,-,-,-,-
