language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
nyim1251,-,d,-,-,-,-,y,-,-,i,n,q,u,-,r,-,-,-,-,-,m,-,-,-,-,-,u,n,-,-,-
dugw1239,-,-,-,-,-,-,k,-,-,o,-,k,u,-,r,-,L,-,-,-,-,-,-,-,-,-,o,m,-,-,-
mere1246,-,-,-,-,-,-,k,u,r,o,-,k,u,-,r,o,L,-,-,-,-,-,-,-,-,-,a,m,-,-,-
gemz1238,-,d,-,-,-,-,z,-,-,3,-,k,-,-,-,-,L,-,-,-,-,-,-,-,-,-,3,m,-,-,-
nort3047,-,-,-,-,-,-,k,-,-,u,-,k,u,-,r,-,L,-,-,-,-,-,-,-,-,-,o,m,-,-,-
cuvo1236,-,-,-,-,-,-,k,w,-,a,-,k,w,a,r,-,L,-,-,-,-,-,-,-,-,-,a,m,-,-,-
buwa1243,-,r,-,-,-,-,-,-,-,o,-,-,-,-,d,-,z,-,-,o,b,-,-,-,-,-,o,n,-,-,-
gava1241,-,r,-,-,-,-,-,-,-,o,-,-,-,-,d,-,z,-,-,o,b,-,-,-,-,-,3,n,-,-,-
mbed1242,n,d,-,-,-,-,r,-,-,3,-,-,-,-,d,-,Z,-,-,u,b,-,-,-,-,-,3,N,-,-,-
budu1265,-,-,-,-,-,-,h,-,-,3,-,k,a,-,n,-,x,i,-,-,-,-,-,-,-,-,-,n,g,-,i
budu1265,-,-,-,-,-,-,h,-,-,3,-,k,a,-,n,-,x,i,-,-,-,-,-,-,-,-,-,n,g,-,i
kanu1281,-,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,y,u,-,-,-,-,-,-,-,-,-,-,w,-,u
kanu1281,-,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,y,u,-,-,-,-,-,-,-,-,-,-,w,-,u
lagw1237,-,t,3,-,-,-,k,-,-,-,-,-,3,-,m,-,x,-,s,3,d,a,k,a,x,k,a,n,-,-,-
lagw1237,-,t,3,-,-,-,k,-,-,-,-,-,3,-,m,-,x,-,s,3,d,a,k,a,x,k,a,n,-,-,-
mser1242,-,t,3,-,-,-,k,-,-,-,-,-,3,-,m,-,k,i,T,o,d,-,-,-,-,-,3,n,v,r,e
mser1242,-,t,3,-,-,-,k,-,-,-,-,-,3,-,m,-,k,i,T,o,d,-,-,-,-,-,3,n,v,r,e
afad1236,-,d,3,g,3,n,g,-,-,-,-,-,a,-,-,-,s,i,g,o,k,-,-,-,-,-,a,n,-,-,-
afad1236,-,d,3,g,3,n,g,-,-,-,-,-,a,-,-,-,s,i,g,o,k,-,-,-,-,-,a,n,-,-,-
mpad1242,-,-,-,-,-,-,h,-,-,-,-,-,a,-,m,-,s,i,-,-,-,-,-,-,-,-,-,n,-,-,-
mpad1242,m,b,3,l,o,-,s,-,-,-,-,k,a,-,-,-,s,i,g,o,k,-,-,-,-,-,a,n,-,-,-
malg1250,-,-,-,-,-,-,h,-,-,-,-,-,a,-,m,-,s,i,-,-,-,-,-,-,-,-,-,n,-,-,-
malg1250,-,-,-,-,-,-,h,-,-,-,-,-,a,-,m,-,s,i,-,-,-,-,-,-,-,-,-,n,-,-,-
chad1249,-,-,-,-,-,-,x,-,-,-,-,-,a,-,m,-,s,i,-,-,-,-,-,-,-,-,-,n,-,-,-
chad1249,-,-,-,-,-,-,x,-,-,-,-,-,a,-,m,-,s,i,-,-,-,-,-,-,-,-,-,n,-,-,-
zina1234,-,-,-,-,-,-,h,-,-,-,-,-,a,-,m,-,S,i,-,-,-,-,-,-,-,-,-,m,-,-,-
zina1234,-,-,-,-,-,-,h,-,-,-,-,-,a,-,m,-,S,i,-,-,-,-,-,-,-,-,-,m,-,-,-
