language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
wuzl1236,-,-,m,-,-,a,-,-,-,-,-,-,r,-,-,o,-,i,-,k,-,-,w,-,u,-
vame1236,-,-,m,-,-,3,-,n,-,-,e,s,l,-,s,a,-,-,-,k,-,-,w,-,a,-
dugw1239,-,-,h,-,-,3,-,n,-,-,e,-,L,-,y,a,-,-,-,k,-,-,w,-,a,-
nort3047,-,-,-,-,-,i,r,n,-,-,e,-,-,-,-,-,-,-,-,-,-,-,v,-,o,-
mbuk1243,-,-,m,-,-,i,r,-,-,-,e,-,L,-,s,3,-,u,-,k,-,-,-,-,o,-
cuvo1236,-,-,n,-,-,e,-,n,-,-,e,-,N,-,t,a,k,w,a,k,-,-,w,-,a,w
buwa1243,-,-,g,-,-,a,-,n,-,-,a,-,-,-,n,a,-,-,-,k,-,o,h,-,o,-
gava1241,-,-,g,-,-,o,-,d,o,d,o,-,-,-,N,-,-,-,-,k,w,o,h,-,u,-
mbed1242,-,-,g,-,-,a,-,n,-,-,a,-,d,-,t,3,-,-,-,k,-,a,h,a,w,-
kamw1239,-,-,g,-,-,a,-,n,-,-,e,-,-,-,-,-,-,-,-,g,-,-,w,-,i,-
suku1272,-,-,g,-,-,a,-,n,-,-,a,-,y,-,-,-,-,-,-,k,-,-,-,-,u,-
lagw1237,-,-,-,-,-,-,-,n,-,-,-,s,l,i,-,e,-,-,-,f,-,-,-,-,u,-
mser1242,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,3,-,-,-,g,-,-,-,-,a,m
afad1236,-,-,-,-,-,e,-,n,-,-,-,s,l,i,s,3,-,-,-,h,-,-,-,-,3,w
mpad1242,-,-,-,-,-,e,-,n,-,-,-,S,-,i,s,3,-,-,-,f,-,-,-,-,u,-
malg1250,-,-,-,-,-,e,-,n,-,-,-,s,l,-,-,3,-,-,-,e,-,-,-,-,u,-
maje1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,g,-,-,-,-,o,-
bata1314,t,3,r,-,-,3,-,m,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
chad1249,-,-,l,i,s,a,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
