language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
dugw1239,-,-,-,-,-,y,-,-,-,u,w,a,y
mere1246,-,-,d,-,-,z,-,-,-,u,w,a,y
nort3047,-,-,-,-,-,y,i,-,y,i,w,e,d
cuvo1236,m,a,T,a,m,T,-,-,-,-,-,a,y
buwa1243,-,-,-,-,-,y,e,-,y,3,w,e,d
gava1241,-,-,-,-,-,y,-,-,-,i,w,i,d
mbed1242,-,-,d,-,-,Z,i,d,Z,i,w,3,d
lagw1237,-,-,-,-,-,z,-,-,-,u,-,-,-
mser1242,-,-,m,-,-,s,-,-,7,3,w,i,-
afad1236,-,-,t,-,-,s,-,-,-,3,w,i,-
mpad1242,-,-,-,-,-,s,-,-,-,k,w,i,-
malg1250,-,-,-,-,-,s,-,-,-,k,p,i,-
masl1241,-,-,-,-,-,s,-,-,7,i,w,i,-
chad1249,-,-,-,-,-,d,-,-,-,u,b,a,n
