language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
kamw1239,z,i,l,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
nyim1251,m,-,b,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
molo1266,d,a,b,-,-,-,a,-,y,-,-,-,-,-,-,-,-,-
muya1243,m,-,b,-,-,-,i,-,l,-,-,-,i,-,-,-,N,-
dugw1239,m,a,p,a,y,b,3,-,z,-,-,-,a,-,-,-,y,-
mere1246,-,-,p,a,y,b,3,-,z,-,-,-,a,-,-,-,y,-
gemz1238,-,-,m,e,z,-,3,N,g,-,-,-,e,-,-,-,l,e
mbuk1243,m,-,b,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-
mbuk1243,-,-,p,-,-,-,3,-,r,-,-,-,a,-,-,-,-,-
mbuk1243,-,-,p,-,-,-,3,-,r,a,a,z,a,-,-,-,r,-
nort3047,s,i,p,a,-,-,-,-,s,-,-,-,a,-,-,-,r,-
cuvo1236,T,a,p,-,-,-,n,-,d,-,-,-,a,-,-,-,-,-
buwa1243,n,-,y,-,-,-,-,-,-,-,-,-,e,-,-,-,n,-
buwa1243,s,3,b,-,-,-,-,-,-,-,-,-,o,-,-,-,r,-
gava1241,t,e,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mbed1242,z,3,b,-,-,-,-,-,-,-,-,-,e,-,-,-,r,-
kanu1281,k,a,-,-,-,-,-,-,d,-,-,-,u,n,g,i,n,-
lagw1237,z,3,-,-,-,-,-,-,b,-,-,-,e,-,-,-,-,-
mser1242,t,o,-,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-
afad1236,g,3,-,-,-,-,-,-,d,-,-,-,3,-,-,-,-,-
mpad1242,d,3,-,-,-,-,-,-,g,-,o,h,o,-,-,-,-,-
mpad1242,k,a,-,-,-,-,-,-,d,-,-,-,3,-,-,-,-,-
mpad1242,s,a,-,-,-,-,-,-,g,-,-,-,3,-,-,-,-,-
malg1250,g,a,-,-,-,-,-,-,d,-,-,-,3,-,w,u,n,-
zina1234,z,3,b,-,-,-,-,-,y,-,-,-,a,-,-,-,-,-
