language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
molo1266,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,z,-,3,b,a,t
wuzl1236,-,-,-,-,-,-,-,-,a,n,a,N,-,m,3,n,d,-,i,y,a,-
vame1236,-,-,-,-,-,-,-,-,a,-,-,y,-,p,3,-,d,-,a,y,-,-
dugw1239,-,-,-,w,-,-,-,-,a,-,-,y,-,m,a,n,d,-,a,y,-,-
mere1246,-,-,-,w,-,-,-,-,u,-,-,-,-,m,3,n,d,-,e,-,-,-
mere1246,-,-,-,w,-,-,-,-,u,-,-,-,-,m,3,n,d,-,e,-,-,-
nort3047,g,-,-,w,a,-,t,z,o,-,-,-,-,m,-,-,-,-,-,-,-,-
mbuk1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,i,y,e,-
mbuk1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,a,f,-,-
cuvo1236,-,-,-,y,e,N,t,-,a,-,-,-,-,m,a,n,d,-,a,y,-,-
buwa1243,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,d,-,o,-,-,-
gava1241,-,-,-,w,-,-,-,-,3,-,-,-,-,-,-,-,d,-,o,-,-,-
mbed1242,-,-,-,k,-,-,-,-,3,-,-,-,-,-,-,-,Z,-,u,m,-,-
kamw1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,a,f,a,-
mafa1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,a,v,a,r
mafa1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,a,f,-,-
lagw1237,-,-,-,z,-,-,-,-,3,-,-,-,-,m,-,-,-,-,i,-,-,-
mser1242,-,-,-,y,-,-,-,-,i,-,-,-,-,m,-,-,-,-,i,-,-,-
afad1236,-,-,-,L,-,-,-,-,-,-,-,-,-,-,-,-,7,-,a,-,-,-
mpad1242,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,s,-,e,-,-,-
mpad1242,w,e,i,s,-,-,-,-,3,-,-,-,-,m,-,-,-,-,3,n,-,-
mpad1242,-,-,-,s,-,-,-,-,3,-,-,-,-,m,-,-,-,-,3,n,-,-
mpad1242,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,p,-,a,l,-,-
mpad1242,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,g,-,a,-,-,-
mpad1242,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,t,-,a,m,-,-
malg1250,w,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,y,-,a,m,-,-
budu1265,-,-,-,k,-,-,-,-,3,-,-,-,-,m,-,-,b,u,3,-,-,-
mbar1260,-,-,-,d,-,-,-,-,u,-,-,-,-,b,-,-,-,-,u,-,-,-
marg1266,-,-,-,d,-,-,-,-,u,-,-,-,-,-,-,-,f,-,a,u,-,-
chad1249,-,-,-,-,-,-,-,-,a,-,-,k,i,-,-,-,l,-,-,-,-,-
gaan1243,-,-,-,d,-,-,-,-,3,-,-,s,3,m,-,n,d,-,a,-,-,-
