language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
kamw1239,-,-,-,-,-,h,-,a,-,g,i,-,-,-,-,-,-,-,-,-,-
nyim1251,-,m,-,-,-,b,-,e,-,g,a,-,-,-,-,-,-,-,-,-,-
muya1243,-,-,-,-,-,-,-,-,-,y,o,-,r,-,-,-,-,-,o,y,-
muya1243,-,-,-,-,-,-,-,-,-,b,o,-,t,-,u,t,-,-,u,-,-
muya1243,-,-,-,-,-,-,-,-,-,y,o,-,r,-,-,-,-,-,o,y,-
muya1243,-,-,-,-,-,-,-,-,-,b,o,-,t,-,u,t,-,-,u,-,-
muya1243,-,-,-,-,-,-,-,-,-,y,o,-,r,-,-,-,-,-,o,y,-
muya1243,-,-,-,-,-,-,-,e,-,y,e,-,w,-,-,-,-,-,-,-,-
muya1243,-,-,-,-,-,-,-,e,-,y,e,-,w,-,-,-,-,-,-,-,-
muya1243,-,-,-,-,-,g,-,o,-,y,o,-,h,-,-,k,-,-,u,-,-
muya1243,-,-,-,-,-,g,-,o,-,y,o,-,h,-,-,k,-,-,u,-,-
wuzl1236,y,a,-,g,-,w,-,a,d,z,o,-,h,-,-,k,-,-,u,-,-
wuzl1236,-,a,-,-,-,w,-,a,-,y,a,-,-,-,-,k,-,-,-,-,-
vame1236,-,-,-,-,-,-,-,-,d,z,u,-,r,-,-,-,-,-,a,y,-
dugw1239,-,-,-,-,-,h,w,e,-,y,e,-,k,-,-,-,-,-,-,-,-
mere1246,-,-,-,-,-,h,-,e,-,y,e,-,w,-,-,-,-,-,-,-,-
mere1246,-,-,-,-,-,h,-,e,-,y,e,-,w,-,-,-,-,-,-,-,-
gemz1238,-,-,-,-,-,h,-,e,-,y,e,-,w,-,-,-,-,-,-,-,-
mbuk1243,-,-,-,-,-,y,-,a,-,r,a,-,y,-,-,-,-,-,-,-,-
mbuk1243,k,u,r,k,-,w,-,a,-,z,a,-,y,-,-,-,-,-,-,-,-
mbuk1243,-,-,-,-,-,h,-,a,-,y,a,-,m,-,-,-,-,-,-,-,-
nort3047,-,-,-,-,-,h,-,o,-,y,o,-,k,-,-,-,-,-,-,-,-
cuvo1236,-,-,-,-,-,-,-,-,-,y,a,k,w,-,-,-,-,-,-,-,-
buwa1243,-,-,-,-,-,w,-,o,-,y,o,-,k,-,-,-,-,-,-,-,-
gava1241,-,-,-,-,-,w,-,o,-,y,o,-,k,-,-,-,-,-,-,-,-
mbed1242,-,-,-,-,-,w,-,a,-,y,a,-,k,-,-,-,-,-,-,-,-
kanu1281,-,-,-,-,-,k,-,a,f,i,-,-,-,-,-,-,-,-,-,-,-
kanu1281,-,-,-,-,-,k,-,a,f,i,-,-,-,-,-,-,-,-,-,-,-
lagw1237,-,-,-,m,-,b,-,3,-,l,3,-,m,d,u,k,a,d,u,k,a
mser1242,-,a,-,m,-,b,-,3,-,l,3,-,m,-,-,-,-,-,-,-,-
mpad1242,-,-,-,-,-,h,-,a,-,y,o,-,-,-,-,-,-,-,-,-,-
mpad1242,-,-,-,-,-,g,-,a,-,y,o,-,-,-,-,-,-,-,-,-,-
malg1250,-,-,-,m,-,b,-,3,-,r,3,-,m,-,-,-,-,-,-,-,-
masl1241,-,a,-,n,-,y,-,o,-,y,e,-,-,-,-,-,-,-,-,-,-
bata1314,-,-,-,m,b,w,-,a,-,l,3,-,t,-,-,-,-,-,o,-,-
