language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
kamw1239,-,-,-,t,-,s,a,-,-,-,k,-,-,-,-,-,3,-,-,-,-,-,-
nyim1251,-,-,-,g,-,w,a,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-
molo1266,-,-,-,L,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-
muya1243,-,-,-,L,o,p,o,-,-,-,T,-,-,-,-,-,o,-,-,-,-,-,-
muya1243,n,-,-,d,o,b,o,-,-,-,l,-,-,-,-,-,o,-,-,-,-,-,-
muya1243,-,-,-,-,-,v,o,-,-,-,N,-,-,-,-,-,o,-,-,-,y,-,-
vame1236,-,-,-,d,-,-,3,-,-,-,t,-,-,-,-,s,a,-,-,-,-,-,-
dugw1239,-,-,-,m,-,-,3,-,-,-,L,e,r,-,-,-,e,y,-,-,-,-,-
mere1246,d,-,-,z,-,-,3,-,-,-,d,-,z,a,k,w,a,y,t,3,s,e,k
gemz1238,-,-,-,m,-,-,e,-,-,-,N,-,g,a,-,v,a,-,-,-,s,e,k
mbuk1243,-,-,-,L,-,-,3,-,-,-,L,-,-,-,-,-,a,-,-,-,r,-,-
nort3047,-,-,-,m,-,b,u,-,-,-,L,-,-,a,-,v,o,-,-,-,-,-,-
cuvo1236,-,-,-,L,-,-,3,-,-,-,r,-,-,-,-,-,a,-,-,-,-,-,-
buwa1243,-,-,-,L,-,-,3,-,-,-,k,-,-,-,-,-,o,-,-,-,r,-,-
gava1241,N,k,3,L,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,d,-,-
mbed1242,-,t,-,S,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,d,-,-
lagw1237,-,-,-,L,-,-,e,l,a,-,s,-,-,-,-,-,3,-,-,-,-,-,-
mser1242,-,-,-,s,-,-,a,l,i,m,s,-,7,3,-,k,3,-,-,-,-,-,-
mpad1242,-,-,-,k,-,-,3,-,e,n,s,-,-,3,-,-,-,-,-,-,-,-,-
malg1250,z,-,-,g,-,-,3,-,-,-,d,-,-,3,-,k,a,-,-,-,l,-,-
bata1314,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,-
