language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
kamw1239,-,p,3,l,-,-,3,-,w,s,i,-
nyim1251,-,-,-,l,-,-,a,-,b,-,-,-
vame1236,-,S,u,l,-,-,i,-,y,-,a,-
dugw1239,-,m,3,y,-,-,e,-,m,-,e,y
gemz1238,-,m,e,y,-,-,e,-,h,-,e,-
nort3047,-,-,-,s,-,-,i,-,p,-,e,-
cuvo1236,-,-,-,y,-,-,a,-,h,-,a,-
buwa1243,m,p,o,-,-,-,-,-,m,-,-,-
gava1241,-,g,o,-,-,-,-,-,s,-,-,-
mbed1242,-,p,3,l,-,-,e,-,k,-,-,-
mofu1248,-,-,-,s,-,-,3,-,p,-,-,-
budu1265,-,-,-,T,-,-,3,l,b,-,u,-
lagw1237,-,s,k,w,-,-,a,l,w,-,u,n
mser1242,-,-,-,w,-,-,a,-,k,-,a,-
afad1236,-,-,-,y,-,-,a,-,g,-,o,-
mpad1242,-,-,-,y,-,-,a,-,g,-,o,-
malg1250,-,-,-,w,e,d,3,-,g,-,3,-
