language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
kamw1239,-,-,-,-,-,-,-,g,-,u,n,-,-,i,t,3,-
kamw1239,-,-,-,-,-,-,-,g,-,u,n,-,-,i,t,3,-
suku1272,-,-,-,m,3,-,-,g,-,u,n,-,-,-,-,3,n
molo1266,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-
muya1243,-,-,-,-,-,-,-,b,-,o,k,-,-,o,b,o,-
muya1243,-,-,-,-,-,-,-,h,-,o,r,-,-,o,r,-,-
muya1243,-,-,-,-,-,-,-,b,-,e,t,-,-,i,t,-,-
muya1243,-,-,-,-,-,-,-,b,-,e,t,-,-,i,t,-,-
muya1243,-,-,-,L,3,k,o,b,-,o,-,-,-,-,-,-,-
muya1243,-,-,-,L,3,k,i,y,-,o,-,-,-,-,-,-,-
muya1243,-,-,-,-,-,h,o,b,-,o,-,-,-,-,b,-,-
muya1243,-,-,-,-,-,-,-,h,-,o,g,-,-,o,k,-,-
muya1243,-,-,-,-,-,-,-,L,-,3,-,-,-,-,k,-,-
muya1243,-,-,-,L,3,k,o,b,-,o,-,-,-,-,-,-,-
muya1243,-,-,-,-,-,-,-,t,-,u,-,-,-,-,z,-,-
muya1243,-,-,-,-,-,-,-,p,-,o,z,-,-,o,z,-,-
muya1243,-,-,-,-,-,-,-,b,-,3,-,-,-,-,N,-,-
vame1236,-,-,-,-,-,-,-,p,-,a,n,3,m,i,y,a,-
vame1236,-,-,-,-,i,-,-,p,-,a,m,-,-,-,-,e,-
mere1246,h,3,n,d,3,-,-,k,-,-,-,-,-,-,-,-,-
mbuk1243,-,-,-,t,3,-,-,b,-,a,-,-,-,-,-,-,-
mofu1248,-,-,-,-,-,-,-,b,-,3,d,-,-,a,N,-,-
mofu1248,-,-,-,-,-,-,-,w,-,u,-,-,-,-,r,-,-
mbar1260,-,-,-,n,-,-,-,y,-,a,-,-,-,-,-,-,-
budu1265,-,-,-,-,-,-,-,b,-,a,-,-,-,-,l,-,-
kanu1281,-,-,-,-,-,-,-,b,-,o,-,-,-,-,n,g,-
mser1242,-,-,-,-,-,-,-,w,-,a,-,-,-,-,n,-,-
mpad1242,-,-,-,-,-,-,-,b,-,a,-,-,-,-,n,-,-
marg1265,-,-,-,-,-,-,-,b,w,a,-,-,-,-,N,-,-
marg1266,-,-,-,-,-,-,-,p,-,a,h,-,-,-,n,a,-
bata1314,-,-,-,-,-,-,-,w,-,u,-,-,-,-,n,-,-
bata1314,-,-,-,-,-,-,-,b,-,o,-,-,-,-,n,g,-
