language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
kamw1239,g,3,r,-,-,-,d,-,-,i,-
psik1239,g,u,r,-,-,-,d,-,-,u,-
nyim1251,-,a,l,-,e,i,d,-,-,e,-
molo1266,m,a,d,-,3,-,r,-,-,a,s
muya1243,m,3,d,-,3,-,r,-,-,3,s
wuzl1236,m,3,d,-,-,-,r,-,-,3,s
vame1236,-,a,v,-,3,-,Z,-,-,a,w
dugw1239,m,3,d,-,-,-,r,-,-,a,s
mere1246,m,a,d,-,3,-,r,-,-,a,s
gemz1238,m,a,d,-,3,-,r,-,-,a,s
mbuk1243,m,3,d,-,3,-,r,-,-,a,s
mbuk1243,g,a,d,-,u,-,r,-,-,a,-
nort3047,f,e,d,-,e,-,m,-,-,-,-
cuvo1236,v,e,t,-,e,-,m,-,-,-,-
buwa1243,g,o,l,-,-,-,d,-,-,o,m
gava1241,g,-,l,-,o,-,d,-,-,o,m
mbed1242,g,u,l,-,-,-,d,-,-,o,m
kanu1281,-,a,l,-,a,-,d,-,-,e,-
lagw1237,-,-,s,7,e,-,s,-,7,e,-
mser1242,-,-,t,-,i,-,s,-,7,e,-
afad1236,-,-,d,-,3,-,s,-,7,e,-
mpad1242,-,-,d,-,3,-,s,-,7,e,-
malg1250,-,-,d,-,3,-,s,-,7,e,-
chad1249,-,-,x,-,i,n,z,-,-,i,r
maje1243,b,3,r,-,-,-,y,-,-,3,m
marg1266,g,a,d,-,u,-,-,-,-,-,-
bata1314,-,-,g,-,u,-,s,3,n,e,-
