language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
dugw1239,-,-,L,-,e,-,-,-,l,e,-,-,-,-,-
mere1246,-,-,L,-,e,-,-,-,l,e,-,-,-,-,-
nort3047,-,-,L,-,i,-,-,-,l,i,-,-,-,-,-
cuvo1236,-,-,L,-,e,-,-,-,l,e,-,-,-,-,y
buwa1243,-,-,N,T,o,-,-,-,d,-,-,-,-,-,-
gava1241,-,-,m,-,o,-,-,-,y,-,-,-,-,-,-
kamw1239,-,-,S,-,-,-,-,-,w,3,-,-,-,-,-
lagw1237,-,-,-,-,-,-,-,-,-,-,m,b,i,-,-
mser1242,-,-,-,-,-,-,-,-,l,3,m,-,a,n,-
mpad1242,-,-,w,-,e,i,k,a,d,-,-,-,a,r,i
malg1250,-,-,-,-,-,-,-,-,l,3,m,-,a,n,-
haus1257,k,a,d,-,a,-,-,-,r,i,-,-,-,-,-
