language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
dugw1239,-,-,-,k,-,-,o,-,k,u,-,-,-,r,-,m,a,-,k,-,o,w,-
mere1246,-,-,-,k,u,r,o,-,k,u,-,-,-,r,o,m,3,-,k,-,-,w,a
nort3047,-,-,-,k,-,-,u,-,k,u,-,-,-,r,-,m,e,r,k,-,e,d,-
cuvo1236,-,-,-,k,w,-,a,-,k,w,-,-,a,r,-,m,a,-,k,-,-,w,a
buwa1243,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,o,N,k,w,o,x,-
gava1241,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,o,N,k,w,o,h,-
mbed1242,n,-,-,d,-,-,-,-,-,-,-,-,-,r,-,-,3,N,k,-,u,h,-
lagw1237,-,-,-,t,-,-,3,-,k,3,m,-,-,g,-,-,a,x,k,-,3,r,-
mser1242,-,-,-,t,-,-,3,-,k,3,m,-,-,k,-,-,a,-,k,-,3,r,-
afad1236,-,-,-,d,-,-,3,-,g,3,n,-,-,g,-,-,a,-,k,-,3,r,o
mpad1242,m,b,3,l,-,-,o,s,k,-,-,-,-,-,-,-,o,-,k,-,u,r,o
malg1250,-,b,-,l,-,-,e,-,g,-,-,-,-,-,-,-,a,-,k,-,3,r,-
budu1265,-,-,-,h,-,-,3,-,k,a,n,h,3,r,-,-,a,x,k,-,3,-,-
chad1249,-,-,-,s,-,-,i,-,t,i,n,-,-,-,-,-,-,-,-,-,-,-,-
