language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
molo1266,-,-,-,-,m,-,-,a,-,-,-,-,L,-,3,-,r,p,a,p,a,n,-
muya1243,-,-,-,-,-,-,-,e,-,-,-,-,t,-,i,-,-,-,-,m,e,-,-
wuzl1236,w,a,l,-,m,-,-,a,-,-,d,-,z,-,a,-,l,-,-,-,a,-,-
wuzl1236,-,-,-,-,m,-,-,a,-,-,N,-,g,w,a,-,l,-,-,-,o,-,-
vame1236,-,-,-,-,m,-,-,a,-,-,N,-,g,w,a,-,l,-,-,-,e,-,-
dugw1239,-,-,-,-,m,-,-,3,-,-,-,-,L,-,3,-,r,p,a,p,a,-,-
mere1246,-,-,-,-,m,-,-,a,-,-,-,-,L,-,3,-,r,p,3,p,a,-,-
nort3047,-,-,-,-,m,-,-,3,-,-,-,-,L,-,a,-,r,p,a,p,a,-,-
mbuk1243,-,-,-,-,m,-,-,3,-,-,-,-,L,-,3,-,r,p,3,p,a,-,-
cuvo1236,-,-,-,-,m,-,-,a,-,-,k,u,t,-,a,-,k,-,u,t,a,-,-
buwa1243,-,-,-,-,m,-,-,o,-,-,-,-,L,-,o,-,r,b,o,b,o,w,-
gava1241,-,-,z,o,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,o,-,-
mbed1242,-,-,-,-,m,-,-,3,-,-,-,-,L,-,3,-,r,p,u,p,a,-,-
kamw1239,-,-,-,-,-,-,-,-,-,-,-,-,z,-,a,-,m,-,-,b,a,-,-
suku1272,-,-,-,-,-,-,-,-,-,-,-,-,z,-,a,-,m,-,-,b,a,-,-
lagw1237,-,-,-,-,s,u,-,a,-,-,n,-,s,-,-,-,-,-,-,u,a,n,-
mser1242,-,-,-,-,-,-,-,a,-,-,n,-,s,-,-,-,-,-,-,w,a,n,-
afad1236,-,-,-,-,-,-,-,a,-,-,-,-,s,-,-,-,-,-,-,u,a,n,-
mpad1242,-,-,-,-,-,-,-,a,-,-,-,-,s,-,-,-,-,-,-,w,a,n,-
malg1250,-,-,-,-,m,-,-,a,-,-,-,-,s,7,e,m,g,-,-,b,a,-,-
mbar1260,-,-,-,-,g,-,-,a,-,-,-,-,g,-,-,-,-,-,-,-,a,r,-
bata1314,-,-,-,-,k,u,r,a,-,-,-,-,k,-,u,-,r,-,-,-,a,t,o
chad1249,-,-,-,-,-,-,-,a,b,u,n,-,T,-,a,-,-,-,-,b,a,T,-
