language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
suku1272,-,-,-,-,-,-,b,-,u,l,-,-,-,e,-,y,i,-,-
nyim1251,-,-,-,-,-,-,g,-,u,r,-,-,-,a,-,-,u,-,-
vame1236,p,3,r,d,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
dugw1239,-,-,-,d,3,m,b,-,a,L,-,-,-,-,-,-,-,-,-
gemz1238,-,-,-,-,-,m,-,-,3,l,-,-,-,-,-,-,e,-,-
nort3047,-,-,-,d,u,m,b,-,a,L,-,-,-,-,-,-,-,-,-
cuvo1236,-,-,-,d,3,m,b,-,a,L,-,-,-,-,-,-,-,-,-
buwa1243,-,-,-,d,3,m,b,-,o,L,-,-,-,-,-,-,-,-,-
gava1241,-,-,-,-,-,-,b,-,i,l,d,-,-,-,-,-,i,-,-
mbed1242,-,-,-,-,-,-,w,y,i,N,-,-,-,-,-,-,-,-,-
mofu1248,-,-,-,g,-,-,-,-,u,L,t,a,t,a,k,t,a,-,k
kanu1281,-,-,-,-,-,n,g,-,o,r,-,-,-,-,-,t,o,n,g
lagw1237,-,-,-,-,-,m,b,-,3,l,-,-,-,-,-,-,-,-,-
mser1242,-,-,-,-,-,m,b,-,3,l,-,-,-,-,-,-,-,-,-
mpad1242,-,-,-,-,-,-,k,-,o,r,-,-,-,-,-,t,o,n,-
maje1243,-,-,-,-,-,-,g,-,a,r,-,-,-,a,-,d,3,-,-
