language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
kamw1239,n,-,-,g,-,-,u,-,r,-,L,o,-
suku1272,N,-,-,g,-,-,u,-,l,-,-,u,m
nyim1251,g,u,-,g,-,-,u,-,r,-,-,-,-
molo1266,m,-,-,b,-,-,3,-,r,-,l,o,m
wuzl1236,-,-,-,h,-,-,u,-,l,a,r,o,-
wuzl1236,m,3,-,m,-,-,3,-,l,-,-,o,-
dugw1239,-,-,-,-,-,-,-,-,d,-,-,a,y
dugw1239,-,-,-,-,-,-,-,-,d,-,-,a,y
mere1246,N,-,-,g,-,-,u,-,r,-,l,u,m
gemz1238,m,-,-,-,-,-,a,-,s,u,w,e,h
mbuk1243,m,-,-,b,-,-,3,-,r,-,l,a,w
nort3047,m,-,-,b,-,-,u,-,r,-,l,o,k
cuvo1236,m,a,N,g,-,w,a,-,r,-,l,a,m
buwa1243,m,o,N,g,-,w,o,-,r,-,l,o,m
gava1241,m,o,-,g,-,-,u,-,r,-,l,3,m
mbed1242,m,u,N,g,-,-,u,-,r,-,l,u,m
bald1241,m,u,-,b,-,-,u,-,r,-,l,o,k
mbar1260,-,-,-,g,-,-,u,-,r,-,d,o,y
budu1265,b,3,a,g,-,-,3,-,r,-,-,-,-
kanu1281,n,-,-,g,o,w,o,-,l,-,t,o,-
lagw1237,n,-,-,k,-,-,u,-,l,-,-,i,-
mser1242,-,-,-,k,-,-,o,-,l,-,-,i,-
afad1236,n,-,-,k,-,7,o,-,l,-,i,o,-
mpad1242,n,-,-,k,-,-,o,-,l,-,i,o,-
malg1250,m,-,-,g,-,b,a,n,y,-,-,e,-
zina1234,-,-,-,k,-,-,u,-,r,-,g,a,-
maje1243,-,-,-,k,-,-,u,-,r,-,g,a,-
bata1314,-,-,-,k,-,w,a,-,k,a,t,o,-
