language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
muya1243,-,-,g,-,-,w,-,-,o,r,-
dugw1239,-,-,g,a,r,l,-,-,a,-,-
mere1246,t,3,f,a,-,n,-,-,a,N,-
mere1246,t,-,-,-,-,-,-,-,a,y,-
cuvo1236,l,u,w,-,-,-,-,-,a,-,-
cuvo1236,-,-,k,-,-,-,-,-,a,d,-
buwa1243,-,-,k,-,-,-,-,-,3,d,o
buwa1243,-,-,k,-,-,-,-,-,3,d,e
gava1241,-,-,g,-,-,w,-,-,o,r,o
mbed1242,-,-,k,-,-,-,-,-,a,r,-
kamw1239,-,-,d,-,-,z,i,t,o,-,-
mser1242,d,a,-,-,-,-,-,-,-,-,-
mpad1242,l,e,y,-,-,-,-,-,-,-,-
malg1250,l,e,g,-,-,-,-,-,o,-,-
mbar1260,7,-,b,-,-,-,-,-,a,t,-
chad1249,l,-,-,-,-,-,-,-,e,-,-
