language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
kamw1239,-,-,-,-,-,-,d,z,a,-,r,-,-,o,-,-,-,-,-,-,-,-,-
nyim1251,-,-,-,-,-,-,k,-,o,m,k,-,-,o,-,-,-,-,-,m,-,i,-
molo1266,-,-,-,-,-,-,z,-,o,-,k,-,-,-,-,-,-,-,-,-,-,-,-
molo1266,-,-,-,-,-,-,t,-,3,-,k,-,-,a,-,-,-,-,-,r,-,-,-
muya1243,-,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-,-,n,-,d,o,y,-
muya1243,-,-,-,-,-,-,t,-,3,-,k,-,-,o,-,-,-,-,-,r,-,-,-
wuzl1236,-,-,-,-,-,-,b,-,e,-,b,-,-,e,-,-,-,-,-,l,e,N,-
wuzl1236,-,-,-,-,-,-,g,-,-,-,-,-,-,u,-,-,-,-,-,r,-,-,-
vame1236,-,-,-,-,-,-,t,-,3,-,k,3,m,a,-,-,-,-,-,-,-,-,-
dugw1239,-,-,m,a,-,-,y,-,a,-,h,-,-,a,-,-,-,y,-,-,-,-,-
mere1246,-,-,d,-,-,-,z,-,a,-,h,-,-,a,-,-,-,-,-,-,-,-,-
gemz1238,m,e,d,-,-,-,z,-,e,-,d,-,-,i,-,-,-,-,-,-,-,-,-
mbuk1243,-,-,-,-,-,-,k,-,a,-,t,-,-,a,-,-,-,b,-,-,-,-,-
mbuk1243,-,-,-,-,-,-,-,-,-,-,t,-,-,3,-,-,-,k,e,r,-,-,-
nort3047,-,-,t,i,t,i,l,-,a,-,g,-,w,a,-,-,-,f,-,-,-,-,-
cuvo1236,-,-,-,-,-,-,T,-,a,-,k,-,-,a,-,-,-,-,-,-,-,-,-
buwa1243,-,-,-,-,-,-,L,-,o,-,-,-,-,-,-,-,-,-,-,n,-,-,-
gava1241,-,-,-,-,-,-,L,-,3,-,-,-,-,-,-,-,-,-,-,n,-,-,-
mbed1242,-,-,-,i,-,-,t,-,3,-,-,-,-,-,-,-,-,-,-,l,-,-,-
mbar1260,-,-,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,m,-,-,-
kanu1281,-,-,-,-,-,-,y,-,a,-,r,-,-,a,-,-,-,m,n,g,-,i,n
lagw1237,-,-,d,-,-,-,-,-,3,-,g,-,-,u,y,u,n,h,-,-,-,e,-
mser1242,-,-,n,-,-,-,y,-,a,-,r,-,-,a,-,-,-,b,-,-,-,3,-
mpad1242,-,-,-,-,-,-,y,-,a,-,r,-,-,a,-,-,-,b,-,-,-,u,-
chad1249,-,-,-,-,-,-,y,-,a,-,r,-,-,a,-,-,-,b,-,-,-,-,-
