language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
mbos1242,-,-,-,-,-,-,l,-,-,-,-,E,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,l,-,-,-,-,E,-,-,-,-,-,-,T,-,a,-,-,-,a,-,-,-,l,-,-,a,-,a,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,l,-,-,-,-,e,-,-,-,-,-,-,s,-,a,-,-,-,a,-,-,-,l,-,-,a,-,a,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,l,-,-,-,-,E,-,-,-,-,-,-,T,-,a,-,-,-,a,-,-,-,l,-,-,a,-,a,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,l,-,-,-,-,e,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,a,-,a,-,-,-,-,-,-
koyo1242,-,-,-,-,-,-,l,-,-,-,-,e,-,-,-,-,-,-,T,-,a,-,-,-,a,-,-,-,l,-,-,a,-,a,-,-,-,-,-,-
koyo1242,-,-,-,-,-,-,l,-,-,-,-,e,-,-,e,t,-,-,s,-,a,-,-,-,a,-,-,-,l,-,-,a,-,a,-,-,-,-,-,-
mbok1243,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,T,-,a,-,-,-,a,-,-,-,l,-,-,a,-,a,-,-,-,-,-,-
akwa1248,-,-,-,-,-,-,l,-,-,-,-,e,-,-,-,-,-,-,T,-,a,-,-,-,a,-,-,-,l,-,-,a,-,a,-,-,-,-,-,-
bong1284,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,S,-,-,-,-,-,a,-,-,-,l,-,-,-,-,a,-,-,-,-,-,-
maba1270,-,-,-,-,-,-,l,-,-,-,-,o,-,-,-,n,-,-,s,-,a,-,-,-,a,-,-,-,l,-,-,a,-,a,-,-,-,-,-,-
mong1338,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,a,-,-,-,a,-,-,-,l,-,-,a,-,a,-,-,-,-,-,-
mong1338,-,-,-,-,-,-,l,-,-,-,-,o,-,-,-,-,-,-,s,-,a,-,-,-,a,-,-,-,l,-,-,a,-,a,-,-,-,-,-,-
zamb1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,a,-,-,-,a,-,-,-,l,-,-,a,-,a,-,-,-,-,-,-
