language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
doee1238,-,-,-,-,-,-,m,-,-,-,-,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
kwer1261,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
kami1256,-,-,-,-,-,-,m,-,-,-,-,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
zara1247,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
kutu1263,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
sham1280,-,-,-,-,-,-,m,-,-,-,-,-,u,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
bond1247,-,-,-,-,-,-,m,-,-,-,-,-,u,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
zigu1244,-,-,-,-,-,-,m,-,-,-,-,-,n,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
ngul1246,-,-,-,-,-,-,m,-,-,-,-,-,n,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
gogo1263,-,-,-,-,-,-,m,-,-,-,m,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
kagu1239,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
lugu1238,-,-,-,-,-,-,-,-,-,-,-,-,l,-,i,d,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
lang1320,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
tait1250,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
saga1256,-,-,-,-,-,-,m,-,-,-,-,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
tave1240,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
asut1235,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,-,-,-,-,o,-,-,-,-,-,o,-,-,-,-
asut1235,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
asut1235,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
giry1241,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
digo1243,-,-,m,-,-,-,r,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
poko1261,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
chim1312,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
swah1253,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
swah1253,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,i,-,-,-,5,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
swah1253,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
swah1253,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mwan1247,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
ilwa1237,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
nden1248,-,-,-,-,-,-,m,-,-,-,-,-,k,-,-,-,a,-,-,-,n,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
nden1248,-,-,-,-,-,-,n,-,-,-,-,-,k,-,-,-,a,-,-,-,n,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
matu1259,-,-,-,-,-,-,n,-,-,-,-,-,k,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
ngin1244,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
mate1258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,d,-,-,o,m,-,-,-,-,u,-,-,-,-
mpot1240,-,-,-,-,-,-,-,-,-,-,-,-,k,-,u,k,a,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
mand1423,-,-,-,-,-,-,n,-,-,-,-,-,d,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
tanz1241,-,-,-,-,-,-,m,-,-,-,-,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
yaoo1241,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,N,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
mwer1248,-,-,-,-,-,-,l,-,-,-,u,-,g,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
mako1251,-,-,-,-,-,-,-,-,-,-,i,-,k,-,-,-,a,-,-,-,5,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
mako1251,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
ndam1239,-,-,-,-,-,-,m,-,-,-,-,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
mbun1248,-,-,-,-,-,-,m,-,-,-,-,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
pogo1243,-,-,-,-,-,-,m,-,-,-,-,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
pang1287,-,-,-,-,-,-,m,-,-,-,-,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
nucl1379,-,-,u,-,-,-,n,-,-,-,-,-,d,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
hehe1240,-,-,u,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
bena1262,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
sang1330,-,-,u,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
vwan1235,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
fipa1238,-,-,u,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
mamb1296,-,-,u,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
mamb1296,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
wand1264,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
nyam1275,-,-,u,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
pimb1238,-,-,u,-,-,-,m,-,-,-,-,-,n,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
rung1255,-,-,u,-,-,-,m,-,-,-,-,-,n,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
bung1265,-,-,u,-,-,-,n,-,-,-,-,-,d,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
bend1258,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
nyih1240,-,-,-,-,-,-,-,-,-,-,i,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,u,-,-,-,-
mali1279,-,-,-,-,-,-,-,-,-,-,i,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
lamb1272,-,-,-,-,-,-,-,-,-,-,i,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
safw1238,-,-,-,-,-,-,-,-,-,-,i,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
ndal1241,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
nyak1260,-,-,-,-,-,-,-,-,-,-,u,n,d,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
suku1261,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
