language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
doee1238,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
kwer1261,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
kami1256,t,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
zara1247,t,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
kutu1263,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
sham1280,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
bond1247,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
zigu1244,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
ngul1246,m,-,-,a,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
gogo1263,-,-,-,-,-,-,-,l,-,i,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
kagu1239,-,-,-,-,-,-,-,-,-,-,-,-,i,-,g,-,-,-,-,e,-,-,-,-,-,-,-,g,-,-,-,-,o,-,-
lang1320,-,-,-,i,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,w,-,-,-,-,o,-,-
tait1250,-,-,-,-,-,-,-,-,-,-,-,-,i,-,g,-,-,-,-,e,-,-,-,-,-,-,-,g,-,-,-,-,o,-,-
saga1256,-,-,-,-,-,-,-,-,-,-,-,-,i,-,d,-,-,-,Z,e,-,-,-,-,-,-,-,x,-,-,-,-,o,-,-
tave1240,-,-,-,-,-,-,-,-,-,-,-,-,i,-,y,-,-,-,-,e,-,g,-,-,-,-,-,h,-,-,-,-,o,-,-
asut1235,-,-,-,-,-,-,-,d,-,Z,-,-,e,-,-,-,-,-,-,e,-,-,-,-,-,-,-,x,-,o,-,-,o,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,i,-,y,-,-,-,-,e,-,-,-,-,-,-,-,x,-,-,-,-,o,-,-
