language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
port1283,-,-,-,-,g,-,a,-,r,-,-,-,-,-,-,-,a,-,-
stan1288,-,-,-,-,8,-,a,-,r,-,-,-,-,-,p,-,a,-,-
stan1289,-,-,-,-,-,-,u,-,r,-,-,-,-,-,p,-,3,-,-
ital1282,-,-,-,-,-,-,a,-,r,-,-,t,i,-,L,-,o,-,-
neap1235,-,-,-,-,-,-,o,-,5,-,-,-,-,-,-,-,3,-,-
friu1240,-,-,-,-,-,-,-,-,z,-,g,r,i,-,f,-,E,-,-
roma1327,-,-,-,-,g,e,a,-,r,-,-,-,-,-,-,-,3,-,-
stan1290,-,-,-,-,g,-,-,-,X,-,-,-,i,-,f,-,-,-,-
wall1255,-,-,-,-,g,-,-,-,X,-,-,-,i,-,f,-,-,-,-
west2354,-,-,-,-,k,-,-,-,l,-,-,-,u,-,-,-,3,r,-
stan1295,-,-,-,-,k,-,-,-,X,-,-,-,a,-,l,-,3,-,-
luxe1241,-,-,-,-,k,-,-,-,r,-,-,-,o,-,l,-,3,n,-
swis1247,-,-,-,-,x,-,-,-,r,o,u,-,u,-,-,-,3,-,-
swed1254,-,-,-,-,k,-,-,-,l,-,-,-,o,-,-,-,-,-,-
dani1285,-,-,-,-,k,-,-,-,l,-,-,-,o,-,-,-,-,-,-
lith1251,-,-,-,-,n,-,o,-,g,-,-,-,a,-,s,-,-,-,-
latv1249,-,-,-,-,n,-,o,-,k,-,-,-,-,-,s,-,-,-,-
czec1258,-,-,-,-,p,-,o,-,z,-,-,n,E,-,x,-,-,t,-
czec1258,-,-,-,-,-,-,-,-,d,-,-,r,o,-,p,-,-,-,-
slov1269,-,-,-,-,p,-,o,-,z,-,-,-,u,-,r,-,-,-,-
poli1260,-,-,-,-,p,-,a,-,z,-,-,n,o,-,g,y,E,t,S
poli1260,-,-,-,-,p,-,o,-,z,-,-,-,u,-,r,-,-,-,-
slov1268,k,r,e,m,p,-,3,-,l,-,-,-,-,-,-,-,-,-,-
ukra1253,k,y,i,-,X,-,o,-,t,-,-,y,-,-,-,-,-,-,-
rusy1239,-,n,o,-,x,-,o,-,t,-,-,y,-,-,-,-,-,-,-
bela1254,k,y,i,-,p,-,-,-,t,-,s,y,u,-,r,-,-,-,-
russ1263,k,-,o,-,g,-,3,-,t,-,s,y,-,-,-,-,-,-,-
lowe1385,-,-,-,-,p,-,o,-,z,-,-,-,o,-,r,-,o,-,-
uppe1395,-,-,-,-,p,-,o,-,z,-,-,-,o,-,X,-,o,-,-
kash1274,-,-,-,-,p,-,o,-,z,-,-,-,3,-,r,-,o,-,-
bulg1262,-,-,-,-,-,-,-,n,o,-,-,k,3,-,t,-,-,-,-
mace1250,-,-,-,-,k,-,o,n,d,-,-,Z,o,-,-,-,-,-,-
gawa1247,-,-,-,-,p,-,3,5,d,-,-,Z,o,-,-,-,-,-,-
kala1373,-,-,-,-,-,-,-,-,t,-,-,S,o,-,t,-,-,-,-
khow1242,-,-,-,-,-,-,-,-,-,-,-,q,o,-,f,-,-,-,-
nort2665,-,-,-,-,p,-,a,5,d,-,-,Z,u,-,-,-,-,-,-
hind1269,-,-,-,-,p,-,3,5,d,-,-,Z,o,-,-,-,-,-,-
urdu1245,-,-,-,-,p,-,3,5,d,-,-,Z,o,-,-,-,-,-,-
bhoj1244,-,-,-,-,p,-,3,-,d,-,-,Z,o,-,-,-,-,-,-
maga1260,-,-,-,-,p,-,3,-,d,-,-,Z,o,-,-,-,-,-,-
mait1250,-,-,-,-,p,-,3,-,d,-,-,Z,o,-,-,-,-,-,-
mara1378,-,-,-,-,p,-,3,n,d,-,-,z,a,-,-,-,-,-,-
beng1280,-,-,-,-,-,-,-,-,-,-,-,n,o,k,h,-,-,-,-
assa1263,-,-,-,-,-,-,-,-,-,-,-,n,o,k,h,-,-,-,-
kash1277,-,-,-,-,p,-,o,-,d,-,-,Z,3,-,-,-,-,-,-
kamv1242,-,-,-,-,n,-,a,-,t,-,-,S,e,-,-,-,-,-,-
bakh1245,-,-,-,-,p,-,e,-,-,-,-,5,-,-,-,-,-,-,-
kumz1235,-,-,-,-,n,-,i,-,X,-,-,n,-,-,-,-,-,-,-
mode1248,-,-,-,-,n,-,i,-,-,-,-,S,i,-,-,-,-,-,-
cypr1249,-,-,-,-,n,-,i,-,-,-,-,S,i,-,n,-,-,-,-
pont1253,-,-,o,-,n,-,i,-,-,-,-,S,i,-,n,-,-,-,-
capp1239,-,-,-,-,n,-,i,-,-,-,-,S,i,-,-,-,-,-,-
apul1236,-,-,a,-,n,-,i,-,-,-,-,S,i,-,-,-,-,-,-
homs1234,-,-,-,-,-,-,-,-,d,-,-,Z,i,-,r,-,o,n,-
nucl1235,-,-,-,-,-,-,-,-,t,-,-,S,i,-,r,-,o,n,-
iris1253,-,-,-,-,-,-,u,-,N,-,-,-,3,-,-,-,-,-,-
