language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
mode1248,-,-,-,-,-,k,-,-,-,-,-,-,r,i,-,o,-,-,s,-,-,-,-,-,-,-,-,-
cypr1249,-,-,-,-,-,k,-,-,-,-,-,-,r,i,-,o,-,-,s,-,-,-,-,-,-,-,-,-
pont1253,-,-,-,-,-,k,-,-,-,-,-,-,r,i,-,o,-,-,s,-,-,-,-,-,-,-,-,-
capp1239,-,-,-,-,-,k,-,-,i,-,-,-,r,y,-,o,-,-,s,-,-,-,-,-,-,-,-,-
apul1236,-,-,-,-,-,s,-,-,p,-,-,-,r,i,x,o,-,-,-,-,-,-,-,-,-,-,-,-
anci1242,-,-,p,s,i,k,-,-,h,-,-,-,r,-,-,o,-,-,s,-,-,-,-,-,-,-,-,-
koin1234,-,-,p,s,i,k,-,-,h,-,-,-,r,-,-,o,-,-,s,-,-,-,-,-,-,-,-,-
tokh1243,-,-,-,-,-,k,-,-,-,-,-,-,r,-,-,o,-,-,S,-,-,-,-,t,S,e,-,-
tokh1242,-,-,-,-,-,k,-,-,w,-,-,-,r,-,-,3,-,-,S,-,-,-,-,-,-,-,-,-
sout2614,-,-,-,-,-,f,-,-,-,-,-,-,r,-,-,i,-,-,t,-,-,-,-,-,-,u,-,-
barb1262,-,-,-,-,-,f,-,-,-,-,-,-,r,-,-,i,-,-,-,-,-,-,-,-,-,o,s,-
lati1261,-,-,-,-,-,f,-,-,-,-,-,-,r,-,-,i,g,i,d,-,-,-,-,-,-,u,s,-
port1283,-,-,-,-,-,f,-,-,-,-,-,-,r,-,-,i,-,-,u,-,-,-,-,-,-,-,-,-
stan1288,-,-,-,-,-,f,-,-,-,-,-,-,r,-,-,i,-,-,o,-,-,-,-,-,-,-,-,-
stan1289,-,-,-,-,-,f,-,-,-,-,-,-,r,-,-,E,-,-,t,-,-,-,-,-,-,-,-,-
oldc1251,-,-,-,-,-,f,-,-,-,-,-,-,r,-,-,E,-,-,t,-,-,-,-,-,-,-,-,-
ital1282,-,-,-,-,-,f,-,-,-,-,-,-,r,-,-,e,-,-,d,-,-,-,-,-,-,o,-,-
neap1235,-,-,-,-,-,f,-,-,-,-,-,-,r,-,-,i,-,-,d,-,-,-,-,-,-,3,-,-
friu1240,-,-,-,-,-,f,-,-,-,-,-,-,r,-,-,e,-,-,t,-,-,-,-,-,-,-,-,-
roma1327,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,e,-,-,t,-,-,-,-,-,S,e,-,-
stan1290,-,-,-,-,-,f,-,-,-,-,-,-,X,w,-,a,-,-,-,-,-,-,-,-,-,-,-,-
wall1255,-,-,-,-,-,f,-,-,-,-,-,-,X,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-
fran1269,-,-,-,-,-,f,-,-,-,-,-,-,r,-,-,E,-,-,i,-,-,-,-,-,-,-,-,-
oldh1241,-,-,-,-,-,k,-,-,a,-,-,-,l,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-
midd1343,-,-,-,-,-,k,-,-,a,-,-,-,l,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-
midd1321,-,-,-,-,-,k,-,-,o,-,-,-,u,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-
olds1250,-,-,-,-,-,k,-,-,a,-,-,-,l,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-
olde1238,-,-,-,-,-,t,S,E,o,-,-,-,l,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-
