language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
mode1248,-,e,r,x,-,-,o,-,-,-,-,-,-,m,-,-,-,e,-,-,-,-
cypr1249,-,E,r,k,-,-,u,-,-,-,-,-,-,m,-,-,-,E,-,-,-,-
pont1253,-,e,r,x,-,-,o,-,-,-,-,-,-,m,-,-,-,3,-,-,-,-
capp1239,-,e,r,x,-,-,u,-,-,-,-,-,-,m,-,-,-,e,-,-,-,-
apul1236,-,e,r,k,-,-,o,-,-,-,-,-,-,m,-,-,-,e,-,-,-,-
anci1242,-,e,r,k,h,-,o,-,-,-,-,-,-,m,a,-,-,i,-,-,-,-
koin1234,-,e,r,k,h,-,o,-,-,-,-,-,-,m,-,-,-,e,-,-,-,-
tokh1243,-,-,-,k,-,-,3,-,-,n,-,-,-,m,3,S,-,3,-,-,-,-
tokh1242,-,-,-,k,-,-,u,-,-,-,-,-,-,m,-,n,-,3,-,-,S,-
sout2614,-,-,-,b,-,-,E,-,-,-,-,-,-,n,-,-,-,E,-,-,r,E
barb1262,-,-,-,b,-,-,E,-,-,-,-,-,-,n,-,-,-,E,-,-,r,E
lati1261,-,-,-,w,-,-,e,-,-,-,-,-,-,n,-,-,-,i,-,-,r,e
port1283,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-
stan1288,-,-,-,b,-,-,e,-,-,-,-,-,-,n,-,-,-,i,-,-,r,-
stan1289,-,-,-,b,-,-,3,-,-,-,-,-,-,n,-,-,-,i,-,-,-,-
oldc1251,-,-,-,b,-,-,3,-,-,-,-,-,-,n,-,-,-,i,-,-,-,-
ital1282,-,-,-,v,-,-,e,-,-,-,-,-,-,n,-,-,-,i,-,-,r,e
neap1235,-,-,-,v,-,-,3,-,-,-,-,-,-,n,-,-,-,i,-,-,-,-
friu1240,-,-,-,v,-,-,i,-,-,-,-,-,-,5,-,-,-,i,-,-,-,-
roma1327,-,a,-,v,-,-,e,-,-,-,-,-,-,n,-,-,-,i,-,-,-,-
stan1290,-,-,-,v,-,-,3,-,-,-,-,-,-,n,-,-,-,i,-,-,X,-
wall1255,-,-,-,v,-,-,-,-,-,-,-,-,-,n,-,-,-,i,-,-,-,-
fran1269,-,-,-,v,-,-,-,-,-,-,-,-,-,n,-,y,-,i,-,-,-,-
oldh1241,-,-,-,k,w,-,e,-,-,-,-,-,-,m,-,-,-,a,-,-,n,-
midd1343,-,-,-,k,-,-,o,-,-,-,-,-,-,m,-,-,-,3,-,-,n,-
midd1321,-,-,-,k,-,-,o,-,-,-,-,-,-,m,-,-,-,3,-,-,n,-
olds1250,-,-,-,k,-,-,u,-,-,-,-,-,-,m,-,-,-,a,-,-,n,-
olde1238,-,-,-,k,-,-,u,-,-,-,-,-,-,m,-,-,-,o,-,-,n,-
dutc1256,-,-,-,k,-,-,o,-,-,-,-,-,-,m,-,-,-,3,-,-,n,-
oldf1241,-,-,-,k,-,-,u,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-
west2354,-,-,-,k,-,-,o,-,-,-,-,-,-,m,-,-,-,3,-,-,-,-
stan1295,-,-,-,k,h,-,o,-,-,-,-,-,-,m,-,-,-,-,-,-,n,-
luxe1241,-,-,-,k,-,-,o,-,-,-,-,-,-,m,-,-,-,3,-,-,n,-
swis1247,-,-,-,x,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
goth1244,-,-,-,k,w,-,i,-,-,-,-,-,-,m,-,-,-,a,-,-,n,-
swed1254,-,-,-,k,-,-,o,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-
swed1254,-,-,-,k,-,-,o,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-
oldn1244,-,-,-,k,-,-,o,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-
icel1247,-,-,-,k,h,-,o,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-
faro1244,-,-,-,k,h,-,o,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-
norw1259,-,-,-,k,-,-,o,-,-,-,-,-,-,m,-,-,-,3,-,-,-,-
norw1262,-,-,-,k,-,-,o,-,-,-,-,-,-,m,-,-,-,3,-,-,-,-
dani1285,-,-,-,k,-,-,o,-,-,-,-,-,-,m,-,-,-,3,-,-,-,-
elfd1234,-,-,-,k,-,-,3,-,-,-,-,-,-,m,-,-,-,o,-,-,-,-
lowe1385,-,-,-,p,S,-,i,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-
uppe1395,-,-,-,p,S,-,i,-,-,n,-,-,-,t,-,-,-,S,-,-,-,-
kash1274,-,-,-,p,S,-,3,-,-,5,-,-,-,t,-,-,-,s,-,-,-,-
slov1268,-,-,-,p,r,-,i,-,-,-,-,-,-,t,-,-,-,i,-,-,-,-
lowe1384,-,-,-,p,r,-,i,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-
croa1245,-,-,-,-,d,-,o,-,-,-,-,-,-,t,-,S,-,i,-,-,-,-
chur1257,-,-,-,g,r,-,E,-,-,s,-,-,-,t,-,-,-,i,-,-,-,-
chur1257,-,-,-,p,r,-,i,-,-,-,-,-,-,t,-,-,-,i,-,-,-,-
czec1258,-,-,-,p,r,y,i,-,-,y,-,i,-,T,-,-,-,i,-,-,-,-
czec1258,-,-,-,p,r,-,i,-,-,y,-,i,-,t,-,-,-,-,-,-,-,-
slov1269,-,-,-,p,r,-,i,-,-,s,-,-,-,T,-,-,-,-,-,-,-,-
poli1260,-,-,-,p,r,y,i,-,-,-,-,-,-,t,-,-,-,S,-,-,-,-
poli1260,-,-,-,p,S,-,3,-,-,y,-,S,-,t,-,-,-,S,-,-,-,-
ukra1253,-,-,-,p,r,-,i,-,-,y,-,-,-,t,-,-,-,i,-,-,-,-
rusy1239,-,-,-,p,r,-,e,-,-,y,-,-,-,t,-,-,-,3,-,-,-,-
bela1254,-,-,-,p,r,-,3,-,-,y,s,y,-,t,-,s,y,i,-,-,-,-
russ1263,-,-,-,p,r,y,i,-,-,y,-,-,-,t,-,s,y,i,-,-,-,-
bulg1262,-,-,-,-,d,-,o,-,-,y,-,-,-,d,-,-,-,3,-,-,-,-
mace1250,-,-,-,-,d,-,o,-,-,y,-,-,-,d,-,-,-,a,-,-,-,-
mace1250,-,-,-,-,d,-,o,-,-,y,-,-,-,d,-,-,-,a,-,-,-,-
