language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
mode1248,-,-,-,-,p,-,-,e,8,-,-,-,-,-,-,-,-,e,-,n,-,-,-,-,o,-
cypr1249,-,-,-,-,p,-,-,E,8,-,-,-,-,-,-,-,-,a,-,n,i,-,s,k,o,-
pont1253,-,-,a,-,p,-,-,o,8,-,-,-,-,-,-,-,-,a,-,n,-,-,-,-,o,-
capp1239,-,-,-,-,p,-,-,e,8,-,-,-,-,-,-,-,-,e,-,n,i,-,S,k,o,-
apul1236,-,-,a,-,p,-,-,e,8,-,-,-,-,-,-,-,-,e,-,n,-,-,-,-,o,-
anci1242,-,-,a,-,p,-,-,o,t,-,-,-,-,-,-,-,-,h,-,n,E,y,s,k,o,-
koin1234,-,-,a,-,p,-,-,o,t,-,-,-,-,-,-,-,-,h,-,n,e,-,s,k,o,-
tokh1243,-,-,-,-,s,-,-,-,r,u,-,k,-,-,-,-,-,e,-,t,-,-,-,-,3,r
tokh1242,-,-,-,-,w,-,-,3,l,-,-,-,-,-,-,-,-,3,S,t,-,-,-,-,3,r
sout2614,-,-,-,-,m,-,-,o,r,E,-,r,-,-,-,-,-,E,-,-,-,-,-,-,-,-
barb1262,-,-,-,-,m,-,-,o,r,E,-,r,-,-,-,-,-,E,-,-,-,-,-,-,-,-
lati1261,-,-,-,-,m,-,-,o,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
port1283,-,-,-,-,m,-,-,u,r,-,-,-,-,-,-,-,-,e,-,r,-,-,-,-,-,-
stan1288,-,-,-,-,m,-,-,o,r,-,-,-,-,-,-,-,-,i,-,r,-,-,-,-,-,-
stan1289,-,-,-,-,m,-,-,u,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
oldc1251,-,-,-,-,m,-,-,u,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
ital1282,-,-,-,-,m,-,-,o,r,i,-,r,-,-,-,-,-,e,-,-,-,-,-,-,-,-
neap1235,-,-,-,-,m,-,-,u,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
friu1240,-,-,-,-,m,-,-,u,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
roma1327,-,-,a,-,m,-,-,u,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
stan1290,-,-,-,-,m,-,-,u,X,-,-,-,-,-,-,-,-,i,-,X,-,-,-,-,-,-
wall1255,-,-,-,-,m,-,-,o,X,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
fran1269,-,-,-,-,m,-,-,-,r,-,-,w,-,-,-,-,-,i,-,-,-,-,-,-,-,-
oldh1241,-,-,s,-,t,-,-,e,r,-,-,b,-,-,-,-,-,a,-,n,-,-,-,-,-,-
midd1343,-,-,s,-,t,-,-,e,r,-,-,b,-,-,-,-,-,3,-,n,-,-,-,-,-,-
