language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
mode1248,-,k,-,-,-,a,-,-,n,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
cypr1249,-,k,-,-,-,a,m,-,n,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
pont1253,e,f,-,t,-,E,-,-,x,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
pont1253,-,p,-,-,-,i,-,-,x,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
capp1239,-,8,-,y,-,a,-,-,n,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
apul1236,-,k,-,-,-,a,-,-,n,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
anci1242,-,p,-,r,-,a,-,-,t,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
koin1234,-,p,-,r,-,a,-,-,s,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
tokh1243,-,y,-,-,-,3,m,3,S,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
tokh1242,-,y,-,-,-,3,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sout2614,-,f,-,-,-,a,x,E,r,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-
barb1262,-,f,-,-,-,a,-,E,r,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-
lati1261,-,f,-,-,-,a,k,e,r,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-
port1283,-,f,-,-,-,a,-,-,z,-,-,-,-,e,-,-,-,-,r,-,-,-,-,-
stan1288,-,-,-,-,-,a,-,-,8,-,-,-,-,E,-,-,-,-,r,-,-,-,-,-
stan1289,-,f,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-
oldc1251,-,f,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-
ital1282,-,f,-,-,-,a,-,-,r,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-
neap1235,-,f,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
friu1240,-,f,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
roma1327,a,f,-,-,-,a,-,-,t,-,S,-,-,e,-,-,-,-,-,-,-,-,-,-
stan1290,-,f,-,-,-,E,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wall1255,-,f,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
fran1269,-,f,-,-,-,e,-,-,x,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
oldh1241,-,-,-,-,-,-,-,-,t,-,u,-,-,o,-,-,-,-,n,-,-,-,-,-
midd1343,-,-,-,-,-,-,-,-,t,-,u,-,-,3,-,-,-,-,n,-,-,-,-,-
midd1321,-,-,-,-,-,-,-,-,d,-,u,-,-,3,-,-,-,-,n,-,-,-,-,-
olds1250,-,-,-,-,-,-,-,-,d,-,-,-,-,o,-,-,-,-,n,-,-,-,-,-
olde1238,-,-,-,-,-,-,-,-,d,-,-,-,-,o,-,-,-,-,n,-,-,-,-,-
oldf1241,-,-,-,-,-,-,-,-,d,-,w,-,-,a,-,-,-,-,-,-,-,-,-,-
west2354,-,-,-,-,-,-,-,-,d,-,w,-,-,a,-,-,-,-,n,-,-,-,-,-
stan1295,-,m,-,-,-,a,-,-,X,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-
stan1295,-,t,-,-,-,-,-,-,h,-,-,-,-,u,-,-,-,-,n,-,-,-,-,-
luxe1241,-,m,-,-,-,a,-,-,X,-,-,-,-,3,-,-,-,-,n,-,-,-,-,-
swis1247,-,m,-,-,-,a,-,-,x,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
goth1244,-,-,-,-,-,-,-,-,t,-,o,-,y,a,-,-,-,-,n,-,-,-,-,-
swed1254,-,g,-,-,-,e,-,-,r,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
oldn1244,-,g,-,-,-,e,-,-,r,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
norw1259,-,y,-,-,-,e,-,-,r,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
norw1262,-,y,-,-,-,E,-,-,X,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
dani1285,-,g,-,-,-,E,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
lowe1385,-,-,-,-,-,-,-,-,g,-,-,E,t,o,-,-,-,-,w,-,-,o,-,S
uppe1395,-,-,-,-,-,-,-,-,t,-,S,i,n,-,-,-,-,-,y,-,-,i,t,S
kash1274,-,-,-,-,-,-,-,-,r,-,-,-,-,o,-,-,-,-,b,-,-,i,t,s
slov1268,-,d,-,-,-,e,-,-,l,-,-,-,-,o,-,-,-,-,t,-,-,i,-,-
lowe1384,-,d,-,-,-,e,-,-,l,-,-,-,-,o,-,-,-,-,t,-,-,-,-,-
croa1245,-,r,-,-,-,o,-,-,d,-,-,-,-,i,-,-,-,-,t,-,-,i,-,-
chur1257,-,t,-,v,-,o,-,-,r,-,-,-,-,i,-,-,-,-,t,-,-,i,-,-
czec1258,-,T,-,-,-,e,-,-,l,-,-,-,-,o,-,-,-,-,T,-,-,i,-,-
czec1258,-,T,-,-,-,E,-,-,l,-,-,-,-,o,-,-,-,-,t,-,-,-,-,-
slov1269,-,-,-,-,-,-,-,-,r,-,-,-,-,o,-,-,-,-,b,-,-,i,T,-
poli1260,-,-,-,-,-,-,-,-,t,-,S,-,-,3,-,-,-,-,5,-,-,i,t,S
poli1260,-,-,-,-,-,-,-,-,r,-,-,-,-,o,-,b,-,-,y,-,-,i,t,S
ukra1253,-,-,-,-,-,-,-,-,r,-,-,-,-,o,-,b,-,i,t,-,-,i,-,-
rusy1239,-,-,-,-,-,-,-,-,r,-,-,-,-,o,-,b,-,i,t,-,-,3,-,-
bela1254,-,-,-,-,-,-,-,-,r,-,-,-,-,o,-,b,y,i,t,-,s,y,-,-
russ1263,-,d,-,z,y,E,-,-,l,-,-,-,-,3,-,-,-,-,t,-,s,y,-,-
bulg1262,-,p,-,-,-,-,-,-,r,-,-,-,-,o,-,-,-,-,v,-,y,3,-,-
mace1250,-,p,-,-,-,-,-,-,r,-,-,-,-,o,-,-,-,-,y,-,-,a,-,-
