language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
port1283,-,-,k,u,m,p,r,-,-,i,-,-,8,-,-,u,-,-
stan1288,-,-,-,-,-,-,l,-,-,a,r,-,x,-,-,o,-,-
stan1289,-,-,-,-,-,-,L,-,-,a,r,-,k,-,-,-,-,-
ital1282,-,-,-,-,-,-,l,-,-,u,N,-,g,-,-,o,-,-
neap1235,-,-,-,-,-,-,l,-,w,o,N,-,g,-,-,3,-,-
friu1240,-,-,-,-,-,-,l,-,-,u,N,-,k,-,-,-,-,-
roma1327,-,-,-,-,-,-,l,-,-,u,N,-,g,-,-,-,-,-
stan1290,-,-,-,-,-,-,l,-,-,o,-,-,-,-,-,-,-,-
wall1255,-,-,-,-,-,-,l,-,-,o,-,-,-,-,-,-,-,-
dutc1256,-,-,-,-,-,-,l,-,-,o,N,-,-,-,-,-,-,-
west2354,-,-,-,-,-,-,l,-,-,a,N,-,-,-,-,-,-,-
stan1295,-,-,-,-,-,-,l,-,-,a,N,-,-,-,-,-,-,-
luxe1241,-,-,-,-,-,-,l,-,-,a,N,-,-,-,-,-,-,-
swis1247,-,-,-,-,-,-,l,-,-,E,N,-,-,-,-,-,-,-
icel1247,-,-,-,-,-,-,l,-,-,a,N,-,g,-,-,i,r,-
swed1254,-,-,-,-,-,-,l,-,-,a,N,-,g,-,-,e,r,-
swed1254,-,-,-,-,-,-,l,-,-,o,N,-,-,-,-,-,-,-
faro1244,-,-,-,-,-,-,l,-,-,E,N,-,g,-,-,u,r,-
dani1285,-,-,-,-,-,-,l,-,-,o,N,-,-,-,-,-,-,-
lith1251,-,-,-,i,-,-,l,-,g,a,s,-,-,-,-,-,-,-
latv1249,-,-,-,-,-,-,-,-,g,o,r,-,S,-,-,-,-,-
czec1258,-,-,-,-,-,-,d,-,l,u,-,-,h,-,-,3,-,-
czec1258,-,-,-,-,-,-,d,-,l,o,u,-,h,-,-,i,-,-
slov1269,-,-,-,-,-,-,d,-,l,-,-,-,h,-,-,i,-,-
poli1260,-,-,-,-,-,-,d,-,l,u,-,-,g,-,-,3,-,-
poli1260,-,-,-,-,-,-,d,-,w,u,-,-,g,-,y,i,-,-
slov1268,-,-,-,-,-,-,d,-,-,o,w,-,k,-,-,-,-,-
ukra1253,-,-,-,-,-,-,d,-,-,o,w,-,X,-,-,i,y,-
rusy1239,-,-,-,-,-,-,d,-,-,o,w,-,x,-,-,o,y,-
bela1254,-,-,-,-,-,-,d,-,-,o,w,-,x,-,-,-,y,i
russ1263,-,-,-,-,-,-,d,-,-,-,l,-,y,i,n,3,y,-
lowe1385,-,-,-,-,-,-,d,-,w,u,y,-,k,-,y,i,-,-
uppe1395,-,-,-,-,-,-,d,-,-,o,-,-,-,-,-,i,-,-
kash1274,-,-,-,-,-,-,d,-,w,3,d,-,Z,-,-,i,-,-
bulg1262,-,-,-,-,-,-,d,o,l,3,-,-,k,-,-,-,-,-
mace1250,-,-,-,-,-,-,d,-,l,3,n,u,k,-,-,-,-,-
mace1250,-,-,-,-,-,-,d,-,l,3,n,u,k,-,-,-,-,-
mace1250,-,-,-,-,-,-,d,-,-,o,l,-,k,-,-,-,-,-
gawa1247,-,-,-,-,-,-,l,-,-,i,-,-,g,-,-,a,l,E
kala1373,-,-,-,-,-,-,l,-,-,i,-,-,g,-,-,-,-,-
khow1242,-,-,-,-,-,d,r,-,-,u,N,-,k,-,-,-,-,-
nort2665,-,-,-,-,-,-,7,-,-,i,-,-,S,-,-,-,-,-
hind1269,-,-,-,-,-,-,l,-,-,3,m,-,b,-,-,o,-,-
urdu1245,-,-,-,-,-,-,l,-,-,3,m,-,b,-,-,o,-,-
bhoj1244,-,-,-,-,-,-,l,-,-,3,m,-,b,-,-,o,-,-
maga1260,-,-,-,-,-,-,l,-,-,3,m,-,-,-,-,o,-,-
mait1250,-,-,-,-,-,-,l,-,-,3,-,-,b,-,-,a,-,-
mara1378,-,-,-,-,-,-,l,-,-,a,m,-,b,-,-,-,-,-
beng1280,-,-,-,-,-,-,l,-,-,o,m,-,b,-,-,a,-,-
assa1263,-,-,-,-,-,-,d,-,-,i,-,-,g,-,-,o,l,-
kash1277,-,-,-,-,-,-,z,-,-,-,-,-,y,-,-,o,t,-
kamv1242,-,-,-,-,-,d,r,-,-,3,N,-,-,-,-,3,r,-
west2369,-,-,-,-,-,-,d,-,-,e,-,-,r,-,-,o,z,-
bakh1245,-,-,-,-,-,-,d,-,-,e,-,-,r,-,-,o,z,-
kumz1235,-,-,-,-,-,-,d,-,-,-,-,-,r,-,-,a,z,-
mode1248,m,a,k,-,-,-,r,-,-,i,-,-,s,-,-,-,-,-
cypr1249,m,a,k,-,-,-,r,-,-,i,-,-,s,-,-,-,-,-
pont1253,m,a,k,-,-,-,r,-,-,i,-,-,s,-,-,-,-,-
capp1239,m,a,k,-,-,-,r,-,-,i,-,-,-,-,-,-,-,-
apul1236,m,a,k,-,-,-,r,-,-,i,-,-,o,-,-,-,-,-
homs1234,y,E,-,-,-,-,r,-,-,-,-,-,g,-,-,o,r,-
nucl1235,y,E,-,-,-,-,r,-,-,-,-,-,k,-,-,o,r,-
iris1253,f,a,-,-,-,-,d,-,-,3,-,-,-,-,-,-,-,-
sinh1246,-,-,-,-,-,-,d,-,-,i,-,-,g,-,-,3,-,-
