language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
port1283,-,k,-,o,-,-,-,-,-,-,-,r,-,e,-,-,-,r,-,-,-,-
stan1288,-,k,-,o,-,-,-,-,-,-,-,r,-,E,-,-,-,r,-,-,-,-
stan1289,-,k,-,o,-,-,-,-,-,-,-,r,-,3,-,-,-,-,-,-,-,-
ital1282,-,k,-,o,-,-,-,-,-,-,-,r,-,e,-,-,-,r,-,e,-,-
neap1235,-,k,-,o,-,-,-,-,-,-,-,r,-,3,-,-,-,r,-,3,-,-
friu1240,-,k,-,o,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-
roma1327,-,-,-,a,a,-,-,-,-,-,-,l,-,e,-,-,-,r,g,a,-,-
stan1290,-,k,-,u,-,-,-,-,-,-,-,X,-,i,-,-,-,X,-,-,-,-
wall1255,-,k,-,o,-,-,-,-,-,-,-,r,-,i,-,-,-,-,-,-,-,-
west2354,-,-,-,-,-,-,-,-,-,-,-,d,r,a,-,-,-,v,-,3,-,-
stan1295,-,-,-,-,-,-,-,-,-,-,-,l,-,a,u,f,-,n,-,-,-,-
stan1295,-,-,-,-,-,-,-,-,-,-,-,X,-,E,-,n,-,n,-,-,-,-
luxe1241,-,-,-,-,-,-,-,-,-,-,-,l,-,a,-,f,3,n,-,-,-,-
swis1247,-,-,-,-,-,-,-,-,-,-,-,r,-,E,-,-,-,n,-,3,-,-
swed1254,-,-,-,-,-,-,-,-,-,-,-,l,-,e,-,-,-,p,-,a,-,-
dani1285,-,-,-,-,-,-,-,-,-,-,-,l,-,e,-,-,-,b,-,3,-,-
lith1251,-,b,y,e,k,-,-,-,-,-,-,y,-,-,-,-,-,t,y,i,-,-
latv1249,-,-,s,-,k,-,-,-,-,-,-,r,i,E,-,-,-,t,-,-,-,-
czec1258,-,b,y,e,-,-,-,-,-,-,-,Z,-,e,-,-,-,T,i,-,-,-
czec1258,-,b,y,E,-,-,-,-,-,-,-,Z,-,E,-,-,-,t,-,-,-,-
slov1269,-,b,-,E,-,-,-,-,-,-,-,Z,-,o,-,-,-,T,-,-,-,-
poli1260,-,b,y,E,-,-,-,-,-,-,-,Z,-,E,-,-,-,t,S,-,-,-
poli1260,-,b,y,-,-,-,-,-,-,-,-,y,-,E,-,-,-,t,s,-,-,-
slov1268,-,-,-,-,-,-,-,-,-,-,-,t,-,E,-,-,-,t,S,i,-,-
ukra1253,-,b,y,i,-,-,-,-,-,-,-,X,-,-,-,-,-,t,-,i,-,-
rusy1239,-,b,y,i,-,-,-,-,-,-,-,-,-,-,-,-,-,t,S,i,-,-
bela1254,-,b,y,E,-,-,-,-,-,-,-,g,-,o,-,-,-,t,s,y,-,-
russ1263,-,b,y,i,-,-,-,-,-,-,-,Z,-,o,-,-,-,t,s,y,-,-
lowe1385,-,-,-,-,-,-,-,-,-,-,-,g,n,a,-,-,-,-,S,-,-,-
uppe1395,-,b,-,e,-,-,-,-,-,-,-,Z,-,E,-,-,-,t,S,-,-,-
kash1274,-,b,y,E,-,-,-,-,-,-,-,g,n,u,-,-,-,t,s,-,-,-
bulg1262,-,t,-,-,-,-,-,-,-,-,-,y,-,i,-,-,-,t,S,3,m,-
mace1250,-,t,-,-,-,-,-,-,-,-,-,y,-,e,-,-,-,k,-,a,-,-
mace1250,-,t,-,-,-,-,-,-,-,-,-,r,-,o,-,-,-,t,S,i,m,-
mace1250,-,t,-,3,-,-,-,-,-,-,-,r,-,-,-,-,-,t,S,o,-,-
gawa1247,-,L,-,3,p,i,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-
kala1373,-,d,-,E,m,i,5,t,S,h,3,r,-,u,-,-,-,g,-,-,-,-
khow1242,-,d,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-
nort2665,-,d,-,a,v,a,-,-,-,-,-,l,-,-,-,-,-,t,-,u,-,-
hind1269,-,d,-,o,-,-,-,-,-,-,-,r,-,-,-,-,-,n,-,o,-,-
urdu1245,-,d,-,o,-,-,-,-,-,-,-,r,-,-,-,-,-,n,-,o,-,-
