language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
port1283,-,k,u,-,z,-,-,-,-,-,e,-,-,r,-,-,-,-,-,-,-
stan1288,-,k,o,-,s,-,-,-,-,-,E,-,-,r,-,-,-,-,-,-,-
stan1289,-,k,u,-,z,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
ital1282,-,k,u,t,S,-,-,-,-,-,i,-,-,r,-,-,-,-,-,e,-
neap1235,-,k,o,-,s,-,-,-,-,-,3,-,-,r,-,-,-,-,-,3,-
friu1240,-,k,u,-,z,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
roma1327,a,T,o,a,s,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-
stan1290,-,k,u,-,d,-,-,-,X,-,3,-,-,-,-,-,-,-,-,-,-
wall1255,-,k,e,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dutc1256,-,-,-,-,n,-,a,-,y,-,3,-,-,n,-,-,-,-,-,-,-
west2354,-,-,-,-,n,-,a,-,y,-,3,-,-,-,-,-,-,-,-,-,-
stan1295,-,-,-,-,n,-,E,-,-,-,3,-,-,n,-,-,-,-,-,-,-
luxe1241,-,-,-,-,b,-,i,t,s,-,3,-,-,n,-,-,-,-,-,-,-
swis1247,-,-,-,-,n,-,E,-,i,-,3,-,-,-,-,-,-,-,-,-,-
icel1247,-,-,-,-,s,-,e,-,-,-,i,-,-,m,-,-,-,-,-,a,-
swed1254,-,-,-,-,s,-,-,-,-,-,e,-,-,m,-,-,-,-,-,a,-
swed1254,-,-,-,-,s,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
faro1244,-,-,-,-,s,-,E,-,-,-,i,-,-,m,-,-,-,-,-,a,-
dani1285,-,-,-,-,s,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
lith1251,-,-,-,-,s,-,y,-,-,-,u,-,-,t,-,-,-,-,y,i,-
latv1249,-,-,-,-,S,-,-,-,-,-,u,-,-,t,-,-,-,-,-,-,-
czec1258,-,-,-,-,S,-,-,-,-,-,i,-,-,T,-,-,-,-,-,i,-
czec1258,-,-,-,-,S,-,-,-,-,-,i,-,-,t,-,-,-,-,-,-,-
slov1269,-,-,-,-,S,-,-,-,-,-,i,-,-,T,-,-,-,-,-,-,-
poli1260,-,-,-,-,S,-,-,-,-,-,3,-,-,t,-,-,-,-,-,S,-
poli1260,-,-,-,-,S,-,-,-,-,-,3,-,-,t,-,-,-,-,-,S,-
