language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
port1283,-,-,-,a,-,f,-,-,i,-,-,-,-,-,-,a,d,u,-
stan1288,-,-,-,a,-,f,-,-,i,-,-,-,-,-,l,a,8,o,-
stan1289,-,-,-,3,-,f,-,-,i,-,-,-,-,-,l,a,t,-,-
ital1282,-,-,-,a,-,f,-,-,i,-,-,-,-,-,l,a,t,o,-
neap1235,-,-,-,a,-,m,-,-,u,-,-,-,-,-,l,a,t,3,-
friu1240,-,-,-,-,-,-,-,-,u,-,-,t,-,-,S,a,t,-,-
roma1327,-,-,-,a,-,s,k,-,u,-,-,t,-,-,s,i,t,-,-
stan1290,-,-,-,-,-,k,-,-,u,-,-,-,-,-,-,-,p,o,-
wall1255,-,-,-,-,-,k,-,-,u,-,-,-,-,-,-,a,h,a,-
dutc1256,-,-,-,-,-,s,X,-,E,-,-,-,-,-,r,-,p,-,-
west2354,-,-,-,-,-,s,k,-,E,-,-,-,-,-,r,-,p,-,-
stan1295,-,-,-,-,-,S,a,-,a,-,-,-,-,-,-,-,f,-,-
luxe1241,-,-,-,-,-,S,-,-,a,-,-,-,-,-,X,-,f,-,-
swis1247,-,-,-,-,-,S,-,-,a,-,-,-,-,-,r,-,f,-,-
icel1247,-,-,b,e,i,h,t,-,i,-,-,-,-,-,r,-,-,-,-
swed1254,-,h,w,a,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-
swed1254,-,-,v,a,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-
faro1244,k,h,v,a,-,s,-,-,u,-,-,-,-,-,r,-,-,-,-
dani1285,-,-,-,-,-,s,-,-,-,-,-,-,-,-,g,o,b,-,-
lith1251,-,-,-,a,-,S,t,-,-,-,-,-,-,-,r,-,-,u,s
latv1249,-,-,-,o,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-
czec1258,-,-,-,o,-,s,t,-,-,-,-,-,-,-,r,-,-,3,-
czec1258,-,-,7,o,-,s,t,-,-,-,-,-,-,-,r,-,-,i,-
slov1269,-,-,-,o,-,s,t,-,-,-,-,-,-,-,r,-,-,i,-
poli1260,-,-,-,o,-,s,t,-,-,-,-,-,-,-,r,-,-,3,-
poli1260,-,-,-,o,-,s,t,-,-,-,-,-,-,-,r,-,-,3,-
slov1268,-,-,-,o,-,s,t,-,3,-,-,-,-,-,r,-,-,-,-
ukra1253,-,-,X,o,-,s,t,-,-,-,-,-,-,-,r,-,-,i,y
rusy1239,-,-,u,o,-,s,t,-,-,-,-,-,-,-,r,-,-,o,y
bela1254,-,-,v,o,-,s,t,-,-,-,-,-,-,-,r,-,-,3,-
russ1263,-,-,-,o,-,s,t,-,-,-,-,-,-,-,r,-,-,3,y
lowe1385,-,-,w,3,-,-,t,-,-,-,-,-,-,-,S,-,-,3,-
uppe1395,-,-,w,u,-,-,t,-,-,-,-,-,-,-,X,-,-,3,-
kash1274,-,-,w,E,-,s,t,-,-,-,-,-,-,-,r,-,-,3,-
bulg1262,-,-,-,o,-,s,t,-,3,-,-,-,-,-,r,-,-,-,-
mace1250,-,-,-,o,-,s,t,-,-,-,-,-,-,-,r,-,-,a,-
mace1250,-,-,-,o,-,s,t,-,-,-,-,-,-,-,r,-,-,a,-
mace1250,-,-,-,o,-,s,t,-,o,-,-,-,-,-,r,-,-,-,-
gawa1247,-,-,-,-,-,-,l,-,i,-,-,-,v,a,l,-,-,o,-
kala1373,-,-,-,-,-,-,t,-,i,-,-,-,-,-,4,-,-,-,-
khow1242,-,-,-,-,-,-,t,-,u,-,-,k,h,u,4,-,-,u,-
nort2665,-,-,-,-,-,-,t,-,e,-,-,-,-,-,z,-,-,-,-
hind1269,-,-,-,-,-,-,t,-,e,-,-,-,-,-,z,-,-,-,-
urdu1245,-,-,-,-,-,-,t,-,e,-,-,-,-,-,z,-,-,-,-
bhoj1244,-,-,-,-,-,-,t,-,e,-,-,-,-,-,z,-,-,-,-
maga1260,-,-,p,3,d,Z,d,Z,3,-,-,-,-,-,l,-,-,-,-
mait1250,-,-,-,-,-,-,t,-,e,d,Z,g,-,3,r,-,-,-,-
mara1378,-,-,-,-,-,-,t,-,i,-,-,k,-,-,S,-,n,3,-
beng1280,-,-,-,-,-,-,d,-,a,-,-,-,-,-,r,a,l,o,-
assa1263,-,-,-,-,-,-,d,-,a,-,-,-,-,-,r,-,-,-,-
kash1277,-,-,-,-,-,-,t,-,E,-,-,-,-,-,z,-,-,-,-
kamv1242,-,-,-,-,-,-,t,-,-,-,-,-,-,-,s,-,y,o,-
west2369,-,-,-,-,-,-,t,h,i,-,-,-,-,-,r,-,-,-,-
bakh1245,-,-,-,-,-,-,t,-,i,-,-,-,-,-,z,-,-,-,-
kumz1235,-,-,-,-,-,-,t,-,e,-,-,-,-,-,z,-,-,-,-
mode1248,-,-,k,o,-,f,t,-,e,-,-,-,-,-,r,-,-,o,s
cypr1249,-,-,k,o,-,f,t,-,E,-,-,-,-,-,r,-,-,o,s
pont1253,-,-,k,o,-,f,t,-,e,-,-,-,-,-,r,-,-,o,s
capp1239,-,-,T,e,-,s,k,-,i,-,-,-,-,-,n,-,-,-,-
apul1236,-,-,k,o,-,f,t,-,e,-,-,-,-,-,r,-,-,o,-
homs1234,-,-,-,-,-,s,-,-,u,-,-,-,-,-,r,-,-,-,-
nucl1235,-,-,-,-,-,s,-,-,u,-,-,-,-,-,r,-,-,-,-
iris1253,-,-,-,-,-,-,T,-,e,-,-,-,-,-,r,-,-,-,-
