language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
port1283,-,-,-,k,-,-,u,-,-,-,r,-,-,-,-,-,t,-,-,-,u,-,-
stan1288,-,-,-,k,-,-,o,-,-,-,r,-,-,-,-,-,t,-,-,-,o,-,-
stan1289,-,-,-,k,-,-,u,-,-,-,r,-,-,-,-,-,t,-,-,-,-,-,-
ital1282,-,-,-,k,-,-,o,-,-,-,r,-,-,-,-,-,t,-,-,-,o,-,-
neap1235,-,-,-,k,-,-,u,-,-,-,r,-,-,-,-,-,t,-,-,-,3,-,-
friu1240,-,-,-,k,-,-,u,-,-,-,r,-,-,-,-,-,t,-,-,-,-,-,-
roma1327,-,-,s,k,-,-,u,-,-,-,r,-,-,-,-,-,t,-,-,-,-,-,-
stan1290,-,-,-,k,-,-,u,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
wall1255,-,-,-,k,-,-,u,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
dutc1256,-,-,-,k,-,-,o,-,-,-,r,-,-,-,-,-,t,-,-,-,-,-,-
west2354,-,-,-,k,-,w,a,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-
stan1295,-,-,-,k,-,h,u,-,-,-,a,-,-,-,-,-,t,-,-,-,-,s,-
luxe1241,-,-,-,k,-,-,u,-,-,-,3,-,-,-,-,-,t,-,-,-,-,s,-
swis1247,-,-,-,x,-,-,u,-,-,-,r,-,-,-,-,-,t,-,-,-,-,s,-
icel1247,-,-,s,t,-,-,i,-,-,-,h,-,-,-,-,-,t,-,-,-,i,r,-
swed1254,-,-,s,k,-,-,a,m,b,e,r,-,-,-,-,-,-,-,-,-,-,-,-
swed1254,-,-,-,k,-,-,o,-,-,-,r,-,-,-,-,-,t,-,-,-,-,-,-
faro1244,-,-,s,t,-,-,u,-,-,-,h,-,-,-,-,-,t,-,-,-,u,r,-
dani1285,-,-,-,k,-,-,o,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-
lith1251,-,-,-,t,-,-,-,-,-,-,r,-,u,m,p,a,s,-,-,-,-,-,-
latv1249,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,s,-,-,-,-,-,-
czec1258,-,-,-,k,-,-,-,-,-,-,r,-,o,-,-,-,t,-,k,-,3,-,-
czec1258,-,-,-,k,-,-,-,-,-,-,r,-,o,-,-,-,t,-,k,-,i,-,-
slov1269,-,-,-,k,-,-,-,-,-,-,r,-,o,-,-,-,t,-,k,-,i,-,-
poli1260,-,-,-,k,-,-,-,-,-,-,r,-,o,-,-,-,t,-,k,-,3,-,-
poli1260,-,-,-,k,-,-,-,-,-,-,r,-,u,-,-,-,t,-,k,y,i,-,-
slov1268,-,-,-,k,-,-,-,-,-,-,r,-,o,-,-,-,t,3,k,-,-,-,-
ukra1253,-,-,-,k,-,-,o,-,-,-,r,-,o,-,-,-,t,-,k,-,i,y,-
rusy1239,-,-,-,k,-,-,o,-,-,-,r,u,o,-,-,-,t,-,k,-,o,y,-
bela1254,-,-,-,k,-,-,o,-,-,-,r,-,o,-,-,-,t,-,k,y,i,-,-
russ1263,-,-,-,k,-,-,a,-,-,-,r,-,o,-,-,-,t,-,k,y,i,y,-
lowe1385,-,-,-,k,-,-,-,-,-,-,r,-,o,-,-,-,t,-,k,y,i,-,-
uppe1395,-,-,-,k,-,-,-,-,-,-,X,-,u,-,-,-,t,-,k,y,i,-,-
kash1274,-,-,-,k,-,-,-,-,-,-,r,-,u,-,-,-,t,-,S,-,i,-,-
bulg1262,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-,s,-,-,-,-,-,-
mace1250,-,-,-,k,-,-,-,-,-,-,-,-,u,-,-,-,s,-,-,-,u,-,-
mace1250,-,-,-,k,-,-,-,-,-,-,-,-,u,-,n,-,d,-,-,-,u,r,-
mace1250,-,-,-,k,-,-,-,-,-,-,r,-,o,-,-,-,t,-,-,-,o,k,-
gawa1247,-,k,-,h,-,-,3,-,-,-,-,-,-,-,-,-,d,-,-,-,3,n,o
kala1373,-,k,-,h,-,-,3,-,-,-,-,-,-,-,-,-,t,-,-,-,E,4,-
khow1242,-,t,-,s,-,-,o,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-
nort2665,-,-,-,m,-,-,3,-,-,-,-,-,-,-,-,-,t,-,-,-,i,-,-
hind1269,-,t,S,h,-,-,o,-,-,-,-,-,-,-,-,-,t,-,-,-,o,-,-
urdu1245,-,t,S,h,-,-,o,-,-,-,-,-,-,-,-,-,t,-,-,-,o,-,-
bhoj1244,-,t,S,h,-,-,o,-,-,-,-,-,-,-,-,-,t,-,-,-,o,-,-
maga1260,-,T,-,h,-,-,o,-,-,-,-,-,-,-,-,-,t,-,-,-,o,-,-
mait1250,-,t,S,h,-,-,o,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-
mara1378,a,k,-,h,-,-,u,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-
beng1280,-,-,-,b,-,-,e,-,-,-,-,-,-,-,-,-,t,-,-,-,e,-,-
assa1263,-,-,-,s,o,p,o,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-
kash1277,-,t,s,h,-,-,u,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-
kamv1242,-,-,-,m,-,-,u,-,-,-,-,-,-,-,-,-,r,-,-,-,3,-,-
west2369,-,-,-,k,-,-,u,-,-,-,-,-,-,-,-,-,t,-,-,-,o,h,-
bakh1245,-,-,-,k,-,-,u,-,-,-,-,-,-,-,-,-,t,-,-,-,o,-,-
kumz1235,-,-,-,k,-,-,o,-,-,-,-,-,-,-,-,-,t,-,-,-,a,-,-
nort2641,-,-,-,k,-,-,u,-,-,-,r,-,-,-,-,-,t,-,-,-,-,-,-
mode1248,-,-,-,k,-,-,o,-,-,-,n,-,-,-,-,-,d,-,-,-,o,s,-
cypr1249,-,-,-,k,-,-,o,-,-,-,n,-,-,-,-,-,d,-,-,-,o,s,-
pont1253,-,-,-,k,-,-,o,-,-,-,n,-,-,-,-,-,d,-,-,-,o,s,-
capp1239,-,-,-,k,-,-,o,-,-,-,n,-,-,-,-,-,d,-,-,-,o,-,-
apul1236,-,-,-,k,-,-,o,-,-,-,n,-,-,-,-,-,d,-,-,-,o,-,-
homs1234,-,-,-,g,-,-,o,-,-,-,r,-,-,-,-,-,d,-,-,-,Z,-,-
nucl1235,-,-,-,k,-,-,o,-,-,-,r,-,-,-,-,-,t,-,-,-,S,-,-
iris1253,-,-,-,T,-,-,E,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-
