language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
mode1248,-,-,-,-,-,T,i,m,-,a,-,-,-,m,-,-,e,-,-,-,-,-,-,-,-,-,-
cypr1249,-,-,-,-,t,S,i,m,-,u,-,-,-,m,-,-,E,-,-,-,-,-,-,-,-,-,-
pont1253,-,-,-,-,-,T,i,-,-,-,-,-,-,m,-,-,3,-,-,-,-,-,-,-,-,-,-
capp1239,-,-,-,-,-,T,i,m,-,u,-,-,-,m,-,-,e,-,-,-,-,-,-,-,-,-,-
apul1236,-,-,-,-,t,S,u,m,-,u,-,-,-,m,-,-,e,-,-,-,-,-,-,-,-,-,-
anci1242,k,-,a,-,t,h,e,-,-,u,-,-,-,d,-,-,o,-,-,-,-,-,-,-,-,-,-
koin1234,k,-,a,-,t,h,e,-,-,b,-,-,-,d,-,-,o,-,-,-,-,-,-,-,-,-,-
tokh1243,k,l,3,n,t,s,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
tokh1242,k,l,i,-,-,s,-,-,-,-,-,-,-,n,-,-,a,-,-,S,-,-,-,-,-,-,-
sout2614,-,-,-,-,-,d,-,r,-,o,-,m,-,m,-,-,i,-,-,r,-,-,-,-,-,E,-
barb1262,-,-,-,-,-,d,-,r,-,o,-,m,-,m,-,-,i,-,-,r,-,-,-,-,-,E,-
lati1261,-,-,-,-,-,d,-,-,-,o,-,r,-,m,-,-,i,-,-,r,-,-,-,-,-,e,-
port1283,-,-,-,-,-,d,-,-,-,u,-,r,-,m,-,-,i,-,-,r,-,-,-,-,-,-,-
stan1288,-,-,-,-,-,d,-,-,-,o,-,r,-,m,-,-,i,-,-,r,-,-,-,-,-,-,-
stan1289,-,-,-,-,-,d,-,-,-,u,-,r,-,m,-,-,i,-,-,-,-,-,-,-,-,-,-
oldc1251,-,-,-,-,-,d,-,-,-,u,-,r,-,m,-,-,i,-,-,-,-,-,-,-,-,-,-
ital1282,-,-,-,-,-,d,-,-,-,o,-,r,-,m,-,-,i,-,-,r,-,-,-,-,-,e,-
neap1235,-,-,-,-,-,r,-,-,-,u,-,r,-,m,-,-,i,-,-,-,-,-,-,-,-,-,-
friu1240,-,-,-,-,-,d,-,-,-,u,-,r,-,m,-,-,i,-,-,-,-,-,-,-,-,-,-
roma1327,-,-,a,-,-,d,-,-,-,o,-,r,-,m,-,-,i,-,-,-,-,-,-,-,-,-,-
stan1290,-,-,-,-,-,d,-,-,-,o,-,X,-,m,-,-,i,-,-,X,-,-,-,-,-,-,-
wall1255,-,-,-,-,-,d,-,-,-,u,E,X,-,m,-,-,i,-,-,-,-,-,-,-,-,-,-
fran1269,-,-,-,-,-,d,-,-,-,-,-,r,e,m,-,-,i,-,-,-,-,-,-,-,-,-,-
oldh1241,-,-,-,-,-,s,-,l,-,a,-,-,-,f,-,-,a,-,-,n,-,-,-,-,-,-,-
midd1343,-,-,-,-,-,s,-,l,-,a,-,-,-,f,-,-,3,-,-,n,-,-,-,-,-,-,-
midd1321,-,-,-,-,-,s,-,l,-,a,-,-,-,p,-,-,3,-,-,n,-,-,-,-,-,-,-
olds1250,-,-,-,-,-,s,-,l,-,a,-,-,-,p,-,-,a,-,-,n,-,-,-,-,-,-,-
olde1238,-,-,-,-,-,s,-,l,-,E,-,-,-,p,-,-,o,-,-,n,-,-,-,-,-,-,-
dutc1256,-,-,-,-,-,s,-,l,-,a,-,-,-,p,-,-,3,-,-,n,-,-,-,-,-,-,-
oldf1241,-,-,-,-,-,s,-,l,-,E,-,-,-,p,-,-,a,-,-,-,-,-,-,-,-,-,-
west2354,-,-,-,-,-,s,-,l,i,3,-,-,-,p,-,-,3,-,-,-,-,-,-,-,-,-,-
stan1295,-,-,-,-,-,S,-,l,-,a,-,-,-,f,-,-,-,-,-,n,-,-,-,-,-,-,-
luxe1241,-,-,-,-,-,S,-,l,-,o,-,-,-,f,-,-,3,-,-,n,-,-,-,-,-,-,-
swis1247,-,-,-,-,-,S,-,l,-,a,-,-,-,f,-,-,3,-,-,-,-,-,-,-,-,-,-
goth1244,-,-,-,-,-,s,-,l,-,e,-,-,-,p,-,-,a,-,-,n,-,-,-,-,-,-,-
swed1254,-,-,-,-,-,s,-,-,-,o,-,-,-,v,-,-,a,-,-,-,-,-,-,-,-,-,-
swed1254,-,-,-,-,-,s,-,-,-,o,-,-,-,v,-,-,a,-,-,-,-,-,-,-,-,-,-
oldn1244,-,-,-,-,-,s,-,-,-,o,-,-,-,v,-,-,a,-,-,-,-,-,-,-,-,-,-
icel1247,-,-,-,-,-,s,-,-,-,o,-,-,-,v,-,-,a,-,-,-,-,-,-,-,-,-,-
faro1244,-,-,-,-,-,s,-,-,-,o,-,-,-,v,-,-,a,-,-,-,-,-,-,-,-,-,-
norw1259,-,-,-,-,-,s,-,-,-,o,-,-,-,v,-,-,3,-,-,-,-,-,-,-,-,-,-
norw1262,-,-,-,-,-,s,-,-,-,o,-,-,-,v,-,-,3,-,-,-,-,-,-,-,-,-,-
dani1285,-,-,-,-,-,s,-,-,-,o,-,-,-,w,-,-,3,-,-,-,-,-,-,-,-,-,-
elfd1234,-,-,-,-,-,s,-,-,-,o,-,-,-,v,-,-,o,-,-,-,-,-,-,-,-,-,-
lowe1385,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,-,-,-,-,-,-,S,-
uppe1395,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,t,-,-,-,-,-,S,-
kash1274,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,t,-,-,-,-,-,s,-
slov1268,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,t,-,-,-,-,-,i,-
lowe1384,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,t,-,-,-,-,-,-,-
croa1245,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,v,o,t,-,-,-,-,-,i,-
chur1257,-,-,-,-,-,s,-,-,-,u,-,-,-,p,-,-,o,-,-,t,-,-,-,-,-,i,-
czec1258,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,T,-,-,-,-,-,i,-
czec1258,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,t,-,-,-,-,-,-,-
slov1269,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,T,-,-,-,-,-,-,-
poli1260,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,a,-,-,t,-,-,-,-,-,S,-
poli1260,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,t,-,-,-,-,-,S,-
ukra1253,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,t,-,-,-,-,-,i,-
rusy1239,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,t,-,-,-,-,-,3,-
bela1254,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,t,-,-,-,s,-,y,-
russ1263,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,t,-,-,-,s,-,y,-
bulg1262,-,-,-,-,-,s,-,-,-,-,-,-,-,p,y,-,o,-,-,-,-,-,-,-,-,-,-
mace1250,-,-,-,-,-,s,-,-,-,-,-,-,-,p,y,-,i,-,-,-,-,-,-,-,-,-,-
mace1250,-,-,-,-,-,s,-,-,-,-,-,-,-,p,-,-,o,-,-,m,-,-,-,-,-,-,-
mace1250,-,-,-,-,-,s,-,-,-,-,-,-,-,p,i,-,E,-,-,-,-,-,-,-,-,-,-
oldr1238,-,-,u,-,-,s,-,-,-,-,-,-,-,n,-,-,u,-,-,t,-,-,-,y,-,i,-
pola1255,-,-,-,-,-,s,-,-,-,o,-,-,-,p,-,-,3,-,-,t,-,-,-,-,-,-,-
latv1249,-,-,-,-,-,g,-,-,-,u,-,l,-,-,-,-,E,-,-,t,-,-,-,-,-,-,-
east2282,-,-,-,-,-,g,-,-,-,u,-,l,-,y,-,-,E,-,-,t,-,-,-,-,-,y,-
lith1251,m,y,i,-,E,g,-,-,-,o,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,y,i
nort2668,k,-,3,-,-,s,-,-,-,-,-,-,-,g,-,-,3,-,-,-,-,-,-,-,-,-,-
midd1359,k,-,u,-,-,s,-,-,-,-,-,-,-,k,-,-,e,-,-,t,-,-,-,-,-,-,-
treg1244,k,-,u,-,-,s,-,-,-,-,-,-,-,k,-,-,e,-,-,t,-,-,-,-,-,-,-
vann1244,k,-,u,-,-,s,-,-,-,-,-,-,-,k,-,-,E,-,-,t,-,-,-,-,-,-,-
iris1253,k,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,u,-,-,d,-,3,-,l,-,y,-
oldi1245,k,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,o,n,-,t,h,u,-,l,y,i,-
manx1243,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,d,-,-,-,l,-,3,-
west2369,-,-,-,-,-,X,-,-,-,o,-,-,-,b,-,-,i,-,-,d,-,-,-,-,-,E,n
bakh1245,-,-,-,-,-,X,-,-,-,3,-,w,-,b,-,-,i,-,-,r,-,-,-,-,-,a,k
cent2264,-,-,-,-,-,X,-,-,-,a,-,-,-,w,d,-,a,-,-,r,-,-,-,-,-,a,-
pahl1241,-,-,-,-,-,X,-,-,-,u,f,s,-,-,-,-,e,-,-,d,-,-,-,-,-,-,-
part1239,-,-,-,-,-,x,-,-,-,u,-,s,-,p,-,-,e,-,-,d,-,-,-,-,-,-,-
kumz1235,-,-,-,-,-,t,-,-,-,X,-,-,-,w,-,-,a,-,-,7,-,-,-,-,-,a,-
khot1251,-,-,-,-,-,h,-,-,-,u,-,S,-,y,-,-,-,-,-,t,-,-,-,-,-,3,-
yusu1238,-,-,-,-,-,7,-,-,-,u,-,d,3,k,-,-,i,-,-,d,-,-,-,-,-,3,l
iron1242,-,-,-,-,-,f,-,-,-,3,-,n,3,y,k,-,3,-,-,n,-,-,-,-,-,3,n
digo1242,-,-,-,-,-,f,-,-,-,u,-,n,3,y,k,h,3,-,-,n,-,-,-,-,-,u,n
ashr1238,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-
kala1373,-,-,-,-,-,4,-,-,-,i,-,m,-,b,-,-,3,-,-,t,-,-,-,S,-,u,g
gawa1247,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,i,k
khow1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,r,-,-,-,-,-,E,k
nort2665,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-,a,-,S,t,u,-
hind1269,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-
urdu1245,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-
bhoj1244,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-
maga1260,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-
mait1250,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,u,t,3,n,-,-,-,-,-,o,-
east1436,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,u,t,-,n,-,-,-,-,-,u,-
mara1378,-,d,-,-,-,z,-,-,-,-,-,-,-,-,-,-,o,p,-,n,-,-,-,-,-,e,-
beng1280,-,-,-,-,-,g,-,-,-,u,-,-,-,m,-,-,o,-,-,n,-,-,-,-,-,o,-
assa1263,-,-,-,-,-,t,-,-,-,u,-,-,-,p,-,-,o,-,-,n,-,i,d,Z,u,o,-
vedi1234,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,-,-,-,-
