language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
mode1248,-,-,-,-,k,-,-,-,s,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,n,-,-,o,-,-,-,-,-,-
cypr1249,-,-,-,-,k,-,-,-,s,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,n,-,-,o,-,-,-,-,-,-
pont1253,-,-,-,-,k,-,-,-,s,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-
capp1239,-,a,n,a,x,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,i,z,-,u,-,-,-,m,-,-,e,-,-,-,-,-,-
apul1236,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,r,a,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-
anci1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,-,-,-
koin1234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,-,-,-
tokh1243,-,3,N,-,k,a,i,-,y,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,3,S,3,-,-,-,-,-,-
sout2614,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,t,-,-,a,-,-,-,r,E,-
barb1262,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,t,-,S,a,-,-,-,r,E,-
lati1261,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,e,-,-,-,r,e,-
port1283,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,m,-,i,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,r,-,-
stan1288,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,i,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,r,-,-
stan1289,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,m,-,i,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
oldc1251,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,i,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
ital1282,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,i,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,r,e,-
neap1235,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,m,-,3,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
