language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
mode1248,-,-,-,-,-,-,n,e,-,-,-,r,-,o,-,-,-,-,-,-
cypr1249,-,-,-,-,-,-,n,E,-,-,-,r,-,o,-,n,-,-,-,-
pont1253,-,-,-,-,-,-,n,e,-,-,-,r,-,o,-,n,-,-,-,-
capp1239,-,-,-,-,-,-,l,e,-,-,-,r,-,o,-,-,-,-,-,-
apul1236,-,-,-,-,-,-,n,e,-,-,-,r,-,o,-,-,-,-,-,-
anci1242,-,-,-,-,-,-,h,i,-,-,-,d,-,o,-,r,-,-,-,-
koin1234,-,-,-,-,-,-,-,i,-,-,-,d,-,o,-,r,-,-,-,-
myce1241,-,-,-,-,-,-,h,u,-,-,-,d,-,o,-,r,-,-,-,-
tokh1243,-,-,-,-,-,-,w,3,-,-,-,r,-,-,-,-,-,-,-,-
tokh1242,-,-,-,-,-,-,w,3,-,-,-,r,-,-,-,-,-,-,-,-
sout2614,-,-,-,a,-,-,b,a,-,-,-,-,-,-,-,-,-,-,-,-
barb1262,-,-,-,a,-,-,b,a,-,-,-,-,-,-,-,-,-,-,-,-
lati1261,-,-,-,a,-,k,w,a,-,-,-,-,-,-,-,-,-,-,-,-
port1283,-,-,-,a,-,g,w,a,-,-,-,-,-,-,-,-,-,-,-,-
stan1288,-,-,-,a,-,x,w,a,-,-,-,-,-,-,-,-,-,-,-,-
stan1289,-,-,-,a,y,x,w,3,-,-,-,-,-,-,-,-,-,-,-,-
oldc1251,-,-,-,a,y,x,w,3,-,-,-,-,-,-,-,-,-,-,-,-
ital1282,-,-,-,a,-,k,w,a,-,-,-,-,-,-,-,-,-,-,-,-
neap1235,-,-,-,a,-,k,w,3,-,-,-,-,-,-,-,-,-,-,-,-
friu1240,-,-,-,a,-,-,g,e,-,-,-,-,-,-,-,-,-,-,-,-
roma1327,-,-,-,a,-,-,p,3,-,-,-,-,-,-,-,-,-,-,-,-
stan1290,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-
wall1255,-,-,-,E,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
fran1269,-,-,-,e,d,y,Z,3,-,-,-,-,-,-,-,-,-,-,-,-
oldh1241,-,-,-,-,-,-,w,a,-,-,-,s,-,a,-,r,-,-,-,-
midd1343,-,-,-,-,-,-,w,a,-,-,-,s,-,3,-,r,-,-,-,-
midd1321,-,-,-,-,-,-,w,a,-,-,-,t,-,3,-,r,-,-,-,-
olds1250,-,-,-,-,-,-,w,a,-,-,-,t,-,a,-,r,-,-,-,-
olde1238,-,-,-,-,-,-,w,E,-,-,-,t,-,e,-,r,-,-,-,-
dutc1256,-,-,-,-,-,-,w,a,-,-,-,t,-,3,-,r,-,-,-,-
oldf1241,-,-,-,-,-,-,w,e,-,-,-,t,-,e,-,r,-,-,-,-
west2354,-,-,-,-,-,-,v,E,-,-,-,t,-,3,-,r,-,-,-,-
stan1295,-,-,-,-,-,-,v,a,-,-,-,s,-,a,-,-,-,-,-,-
luxe1241,-,-,-,-,-,-,v,a,-,-,-,s,-,a,-,-,-,-,-,-
swis1247,-,-,-,-,-,-,v,a,-,-,-,s,-,3,-,r,-,-,-,-
goth1244,-,-,-,-,-,-,w,a,-,-,-,t,-,o,-,-,-,-,-,-
swed1254,-,-,-,-,-,-,v,a,-,-,-,t,-,-,-,n,-,-,-,-
swed1254,-,-,-,-,-,-,v,a,-,-,-,t,-,3,-,n,-,-,-,-
oldn1244,-,-,-,-,-,-,w,a,-,-,-,t,-,-,-,n,-,-,-,-
icel1247,-,-,-,-,-,-,v,a,h,-,-,t,-,-,-,n,-,-,-,-
faro1244,-,-,-,-,-,-,v,a,h,-,-,t,-,-,-,n,-,-,-,-
norw1259,-,-,-,-,-,-,v,o,-,-,-,-,-,-,-,n,-,-,-,-
norw1262,-,-,-,-,-,-,v,o,-,-,-,t,-,-,-,n,-,-,-,-
dani1285,-,-,-,-,-,-,v,a,-,-,-,-,-,-,-,n,-,-,-,-
elfd1234,-,-,-,-,-,-,w,o,-,-,-,t,-,-,-,n,-,-,-,-
lowe1385,-,-,-,-,-,-,w,E,-,-,-,d,-,o,-,-,-,-,-,-
uppe1395,-,-,-,-,-,-,w,o,-,-,-,d,-,o,-,-,-,-,-,-
kash1274,-,-,-,-,-,-,w,E,-,-,-,d,-,o,-,-,-,-,-,-
slov1268,-,-,-,-,-,-,v,o,-,-,-,d,-,o,-,-,-,-,-,-
lowe1384,-,-,-,-,-,-,v,o,-,-,-,d,-,o,-,-,-,-,-,-
croa1245,-,-,-,-,-,-,v,o,-,-,-,d,-,o,-,-,-,-,-,-
chur1257,-,-,-,-,-,-,v,o,-,-,-,d,-,o,-,-,-,-,-,-
czec1258,-,-,-,-,-,-,b,o,-,-,-,d,-,o,-,-,-,-,-,-
czec1258,-,-,-,-,-,-,v,o,-,-,-,d,-,o,-,-,-,-,-,-
slov1269,-,-,-,-,-,-,v,o,-,-,-,d,-,o,-,-,-,-,-,-
poli1260,-,-,-,-,-,-,v,o,-,-,-,d,-,a,-,-,-,-,-,-
poli1260,-,-,-,-,-,-,v,o,-,-,-,d,-,o,-,-,-,-,-,-
ukra1253,-,-,-,-,-,-,b,o,-,-,-,d,-,o,-,-,-,-,-,-
rusy1239,-,-,-,-,-,-,v,o,-,-,-,d,-,o,-,-,-,-,-,-
bela1254,-,-,-,-,-,-,v,o,-,-,-,d,-,o,-,-,-,-,-,-
russ1263,-,-,-,-,-,-,v,a,-,-,-,d,-,o,-,-,-,-,-,-
bulg1262,-,-,-,-,-,-,v,u,-,-,-,d,-,o,-,-,-,-,-,-
mace1250,-,-,-,-,-,-,-,o,-,-,-,d,-,a,-,-,-,-,-,-
mace1250,-,-,-,-,-,-,v,o,-,-,-,d,-,a,-,-,-,-,-,-
mace1250,-,-,-,-,-,-,v,o,-,-,-,d,-,o,-,-,-,-,-,-
oldr1238,-,-,-,-,-,-,v,o,-,-,-,d,-,o,-,-,-,-,-,-
pola1255,-,-,-,-,-,-,v,o,-,-,-,d,-,3,-,-,-,-,-,-
latv1249,-,-,-,-,-,-,-,u,-,-,-,d,-,E,-,n,-,-,s,-
east2282,-,-,-,-,-,-,i,u,-,-,-,d,y,i,-,n,y,t,s,y
lith1251,-,-,-,-,-,-,v,a,n,-,-,d,u,o,-,-,-,-,-,-
oldw1241,-,-,-,-,-,-,-,-,-,-,-,d,-,u,b,r,-,-,-,-
nort2668,-,-,-,-,-,-,-,-,-,-,-,d,-,u,-,r,-,-,-,-
midd1359,-,-,-,-,-,-,-,-,-,-,-,d,-,u,-,r,-,-,-,-
treg1244,-,-,-,-,-,-,-,-,-,-,-,d,-,u,-,r,-,-,-,-
vann1244,-,-,-,-,-,-,-,-,-,-,-,d,-,E,-,r,-,-,-,-
iris1253,-,-,-,-,-,-,-,i,S,-,-,T,-,3,-,-,-,-,-,-
oldi1245,-,-,-,-,-,-,-,u,s,y,k,y,-,E,-,-,-,-,-,-
manx1243,-,-,-,-,-,-,-,u,S,-,t,y,-,3,-,-,-,-,-,-
west2369,-,-,-,o,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-
bakh1245,-,7,-,3,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-
cent2264,-,7,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pahl1241,-,-,-,o,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-
part1239,-,-,-,o,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-
kumz1235,-,7,-,a,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-
khot1251,u,t,s,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yusu1238,-,7,-,o,-,-,b,3,-,-,-,-,-,-,-,-,-,-,-,-
nort2641,-,-,-,o,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-
iron1242,-,d,-,o,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-
digo1242,-,d,-,o,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-
ashr1238,-,-,-,-,-,-,v,i,-,-,-,-,-,-,-,-,-,-,-,-
kala1373,-,-,-,-,-,-,7,u,-,-,-,7,-,-,-,-,-,-,-,-
gawa1247,-,-,-,-,-,-,a,u,-,-,-,-,-,-,-,-,-,-,-,-
khow1242,-,-,-,-,-,-,-,u,-,-,-,X,-,-,-,-,-,-,-,-
nort2665,-,-,-,-,-,-,v,o,-,-,-,r,g,3,-,-,-,-,-,-
hind1269,-,-,-,-,-,-,p,o,-,-,-,n,-,i,-,-,-,-,-,-
urdu1245,-,-,-,-,-,-,p,o,-,-,-,n,-,i,-,-,-,-,-,-
bhoj1244,-,-,-,-,-,-,p,o,-,-,-,n,-,i,-,-,-,-,-,-
maga1260,-,-,-,-,-,-,p,o,-,-,-,n,-,i,-,-,-,-,-,-
mait1250,-,-,-,-,-,-,p,E,-,-,-,n,-,-,-,-,-,-,-,-
east1436,-,-,-,-,-,-,p,a,-,-,-,n,-,i,-,-,-,-,-,-
mara1378,-,-,-,-,-,-,p,a,-,-,-,n,-,i,-,-,-,-,-,-
beng1280,-,d,-,-,-,-,Z,o,-,-,-,l,-,-,-,-,-,-,-,-
assa1263,-,-,-,-,-,-,p,o,-,-,-,n,-,i,-,-,-,-,-,-
vedi1234,-,-,-,a,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-
pali1273,-,-,-,a,-,-,p,a,-,-,-,-,-,-,-,-,-,-,-,-
pali1273,u,d,-,a,-,-,k,a,-,-,-,-,-,-,-,-,-,-,-,-
kash1277,-,-,-,o,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-
kamv1242,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east2308,-,-,-,o,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-
west2372,-,-,-,a,-,-,b,3,-,-,-,-,-,-,-,-,-,-,-,-
chim1297,-,-,-,a,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-
ashk1246,-,-,-,a,-,-,b,u,-,-,-,-,-,-,-,-,-,-,-,-
lowe1390,-,-,-,a,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-
homs1234,-,t,-,S,-,-,h,u,-,-,-,r,-,-,-,-,-,-,-,-
nucl1235,-,d,-,-,-,-,Z,u,-,-,-,r,-,-,-,-,-,-,-,-
clas1249,-,d,-,-,-,-,Z,u,-,-,-,r,-,-,-,-,-,-,-,-
