language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
mode1248,-,a,-,s,-,p,-,r,-,-,o,-,-,s,-,-,-,-
cypr1249,-,a,-,s,-,p,-,r,-,-,o,-,-,s,-,-,-,-
pont1253,-,a,-,s,r,p,-,-,-,-,o,-,-,s,-,-,-,-
capp1239,-,a,-,s,-,p,-,r,-,-,o,-,-,-,-,-,-,-
apul1236,-,a,-,s,-,p,-,r,-,-,o,-,-,-,-,-,-,-
anci1242,l,e,-,-,-,u,-,k,-,-,o,-,-,s,-,-,-,-
koin1234,l,e,-,-,-,p,-,k,-,-,o,-,-,s,-,-,-,-
myce1241,l,e,-,-,-,u,-,k,-,-,o,-,-,-,-,-,-,-
tokh1243,-,a,-,-,-,-,-,r,k,w,i,-,-,-,-,-,-,-
tokh1242,-,a,-,-,-,-,-,r,k,-,i,-,-,-,-,-,-,-
sout2614,-,-,-,-,-,b,-,y,-,-,a,-,-,N,k,u,-,-
barb1262,-,-,-,-,-,b,-,y,-,-,a,-,-,N,k,u,-,-
lati1261,-,-,-,-,-,-,-,-,-,-,a,-,-,l,b,u,s,-
port1283,-,-,-,-,-,b,-,r,-,-,a,-,-,-,k,u,-,-
stan1288,-,-,-,-,-,b,-,l,-,-,a,-,-,N,k,o,-,-
stan1289,-,-,-,-,-,b,-,l,-,-,a,-,-,N,-,-,-,-
oldc1251,-,-,-,-,-,b,-,l,-,-,a,-,-,N,-,-,-,-
ital1282,-,-,-,-,-,b,-,y,-,-,a,-,-,N,k,o,-,-
neap1235,-,-,-,-,-,-,-,y,-,-,a,-,-,N,k,3,-,-
friu1240,-,-,-,-,-,b,-,l,-,-,a,-,-,N,k,-,-,-
roma1327,-,a,-,l,-,b,-,-,-,-,-,-,-,-,-,-,-,-
stan1290,-,-,-,-,-,b,-,l,-,-,o,-,-,-,-,-,-,-
wall1255,-,-,-,-,-,b,-,l,-,-,a,-,-,-,-,-,-,-
fran1269,-,-,-,-,-,b,-,l,-,-,o,-,-,-,-,-,-,-
oldh1241,-,-,-,-,-,w,-,-,-,-,i,-,-,s,-,-,-,-
midd1343,-,-,-,-,-,w,-,-,-,-,i,-,-,s,-,-,-,-
midd1321,-,-,-,-,-,w,-,-,-,-,i,-,-,t,-,-,-,-
olds1250,-,-,-,-,-,w,-,-,-,-,i,-,-,t,-,-,-,-
olde1238,-,-,-,-,-,w,-,-,-,-,i,-,-,t,-,-,-,-
dutc1256,-,-,-,-,-,w,-,-,-,-,i,-,-,t,-,-,-,-
oldf1241,-,-,-,-,-,w,-,-,-,-,i,-,-,t,-,-,-,-
west2354,-,-,-,-,-,v,-,-,-,-,i,-,-,t,-,-,-,-
stan1295,-,-,-,-,-,v,-,a,-,-,i,-,-,s,-,-,-,-
luxe1241,-,-,-,-,-,v,-,E,-,-,i,-,-,s,-,-,-,-
swis1247,-,-,-,-,-,v,-,-,-,-,i,-,-,s,-,-,-,-
goth1244,-,-,-,-,-,w,-,-,-,-,i,-,-,t,s,-,-,-
swed1254,-,-,-,h,-,w,-,-,-,-,i,-,-,t,-,e,r,-
swed1254,-,-,-,-,-,v,-,-,-,-,i,-,-,t,-,-,-,-
oldn1244,-,-,-,-,-,w,-,-,-,-,i,-,-,t,-,-,r,-
icel1247,-,-,-,x,-,w,-,-,-,-,i,-,-,t,h,i,r,-
