language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
port1283,-,-,-,-,-,-,-,l,-,a,-,-,r,x,u,-,-
stan1288,-,-,-,-,-,-,-,-,-,a,-,n,t,S,o,-,-
stan1289,-,-,-,-,-,-,-,-,-,a,m,p,l,-,3,-,-
ital1282,-,-,-,-,-,-,-,l,-,a,-,-,r,g,o,-,-
neap1235,-,-,-,-,-,-,-,l,-,a,-,-,r,g,3,-,-
friu1240,-,-,-,-,-,-,-,l,-,a,-,-,r,k,-,-,-
roma1327,-,-,-,-,-,-,-,l,-,a,-,-,t,-,-,-,-
stan1290,-,-,-,-,-,-,-,l,-,a,-,-,X,Z,3,-,-
wall1255,-,-,-,-,-,-,-,l,-,o,-,-,d,Z,-,-,-
west2354,-,-,b,-,-,-,-,r,-,e,-,-,t,-,-,-,-
stan1295,-,-,b,-,-,-,-,X,-,a,-,i,t,-,-,-,-
luxe1241,-,-,b,-,-,-,-,r,-,e,-,-,t,-,-,-,-
swis1247,-,-,b,-,-,-,-,r,-,E,-,i,t,-,-,-,-
icel1247,-,-,v,-,-,i,-,8,-,i,-,-,r,-,-,-,-
swed1254,-,-,v,-,-,i,-,8,-,e,-,-,r,-,-,-,-
swed1254,-,-,v,-,-,i,-,-,-,-,-,-,d,-,-,-,-
faro1244,-,-,v,u,-,i,-,y,-,u,-,-,r,-,-,-,-
dani1285,-,-,v,-,-,i,-,-,-,-,-,-,8,-,-,-,-
lith1251,-,-,p,-,-,-,-,l,-,a,-,-,t,-,u,s,-
latv1249,-,-,p,-,-,-,-,l,-,o,-,-,t,-,-,s,-
czec1258,-,-,S,-,-,i,-,r,-,o,-,-,k,-,3,-,-
czec1258,-,-,S,-,-,i,-,r,-,o,-,-,k,-,i,-,-
slov1269,-,-,S,-,-,i,-,r,-,o,-,-,k,-,i,-,-
poli1260,-,-,S,-,-,3,-,r,-,o,-,-,k,-,3,-,-
poli1260,-,-,S,-,-,E,-,r,-,o,-,-,k,y,i,-,-
slov1268,-,-,S,-,-,i,-,r,-,o,-,-,k,-,-,-,-
ukra1253,-,-,S,-,-,i,-,r,-,o,-,-,k,-,i,y,-
rusy1239,-,-,S,-,-,i,-,r,u,o,-,-,k,-,o,y,-
bela1254,-,-,S,-,-,3,-,r,-,o,-,-,k,-,-,y,i
russ1263,-,-,S,-,-,3,-,r,-,o,-,-,k,y,i,y,-
lowe1385,-,-,S,-,-,3,-,r,-,o,-,-,k,y,i,-,-
uppe1395,-,-,S,-,-,i,-,X,-,o,-,-,k,y,i,-,-
kash1274,-,-,S,-,-,E,-,r,-,o,-,-,t,S,i,-,-
bulg1262,-,-,S,-,-,i,-,r,-,o,-,-,k,-,-,-,-
mace1250,-,-,S,-,-,a,-,r,-,o,-,-,k,-,-,-,-
mace1250,-,-,S,-,-,a,-,r,-,o,-,-,k,-,-,-,-
mace1250,-,-,S,-,-,i,-,r,-,o,-,-,k,-,-,-,-
gawa1247,v,3,s,-,-,a,-,r,-,o,-,-,-,-,-,-,-
kala1373,b,i,s,-,-,i,-,4,-,-,-,-,-,-,-,-,-
khow1242,b,-,-,-,-,i,-,r,-,o,-,-,X,-,u,4,-
nort2665,7,a,-,-,-,u,-,l,-,u,-,-,-,-,-,-,-
hind1269,t,-,S,-,-,o,-,r,-,o,-,-,-,-,-,-,-
urdu1245,t,-,S,-,-,o,-,r,-,o,-,-,-,-,-,-,-
bhoj1244,t,-,S,-,-,-,-,-,-,o,-,-,k,-,3,r,-
maga1260,-,-,T,-,-,o,-,l,-,o,-,-,-,-,-,-,-
mait1250,t,-,S,-,-,3,o,r,-,o,-,-,-,-,-,-,-
mara1378,-,-,-,-,-,-,-,r,-,u,-,-,n,-,-,d,-
beng1280,t,-,S,o,-,o,-,r,-,a,-,-,-,-,-,-,-
assa1263,-,-,b,o,h,o,-,l,-,-,-,-,-,-,-,-,-
kash1277,k,-,h,-,-,o,-,l,-,-,-,-,-,-,-,-,-
kamv1242,v,i,S,-,t,3,-,r,-,-,-,-,-,-,-,-,-
west2369,p,-,h,-,-,E,h,n,-,-,-,-,-,-,-,-,-
bakh1245,p,-,-,-,-,a,-,n,-,-,-,-,-,-,-,-,-
kumz1235,p,-,-,-,-,a,7,n,-,-,-,-,-,-,-,-,-
mode1248,-,-,f,-,-,-,-,-,-,a,-,r,8,-,i,s,-
cypr1249,-,-,p,-,-,-,-,l,-,a,-,-,t,-,i,s,-
pont1253,-,-,p,-,-,-,-,l,-,a,-,-,t,-,i,s,-
capp1239,-,-,p,-,-,-,-,l,-,a,-,-,t,-,i,-,-
apul1236,-,-,p,-,-,-,-,l,-,a,-,-,t,-,e,o,-
homs1234,-,-,-,-,-,-,-,l,-,o,-,-,y,-,n,-,-
nucl1235,-,-,-,-,-,-,-,l,-,o,-,-,y,-,n,-,-
iris1253,-,-,-,-,-,-,-,l,y,E,-,-,h,-,3,n,-
