language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
amar1274,-,-,-,-,m,b,-,-,-,-,-,i,7,i,g,-,N,-
deni1241,k,-,o,r,o,b,-,-,-,-,-,o,-,-,-,-,-,-
deni1241,-,-,-,-,a,b,-,-,-,-,-,a,-,-,-,-,-,-
culi1244,k,h,o,r,o,b,-,-,-,-,-,o,-,-,-,-,-,-
culi1244,-,-,-,-,a,b,-,-,-,-,-,a,-,-,-,-,-,-
bana1307,s,-,i,r,a,b,-,-,-,-,-,a,-,-,-,-,-,-
bana1307,k,-,o,r,o,b,-,-,-,-,-,o,-,-,-,-,-,-
bana1307,-,-,-,-,a,b,-,-,-,-,-,a,-,-,-,-,-,-
jara1276,s,-,i,r,a,b,-,-,-,-,-,a,-,-,-,-,-,-
jara1276,k,-,o,r,o,b,-,-,-,-,-,o,-,-,-,-,-,-
jara1276,-,-,-,-,a,b,-,-,-,-,-,a,-,-,-,-,-,-
jama1261,s,-,i,r,a,b,-,-,-,-,-,a,-,-,-,-,-,-
jama1261,k,-,o,r,o,b,-,-,-,-,-,o,-,-,-,-,-,-
jama1261,-,-,-,-,a,b,-,-,-,-,-,a,-,-,-,-,-,-
paum1247,s,-,i,r,a,b,-,-,-,-,-,a,-,-,-,-,-,-
paum1247,-,-,-,-,a,b,a,i,s,a,n,a,-,-,-,-,-,-
suru1263,-,-,-,-,a,b,-,-,-,-,-,a,-,-,-,-,-,-
suru1263,-,-,-,-,a,b,-,-,-,-,-,a,-,-,-,-,-,-
arua1263,-,-,-,-,a,b,-,-,-,-,-,a,-,i,g,a,u,a
