language,x1,x2,x3,x4,x5,x6,x7
ishi1240,-,-,-,t,s,i,3
take1256,-,-,-,-,S,i,-
hate1238,-,-,-,d,z,i,3
naze1238,-,-,-,t,s,i,3
okin1244,-,-,-,t,S,i,-
yona1241,-,-,-,t,S,i,-
miya1260,a,k,a,t,s,i,3
irab1238,a,k,a,t,s,i,3
tara1319,a,k,a,t,s,i,3
ikem1235,a,k,a,t,s,i,3
chik1251,-,-,-,t,S,i,-
kuma1281,-,-,-,t,S,i,-
naga1405,-,-,-,t,S,i,-
miya1258,-,-,-,t,S,i,-
oita1237,-,-,-,t,S,i,-
toky1238,-,-,-,t,S,i,-
yama1263,-,-,-,t,S,i,-
hokk1243,-,-,-,t,S,i,-
gifu1238,-,-,-,t,S,i,-
gifu1238,-,-,-,t,S,i,-
shiz1237,-,-,-,t,S,i,-
gunm1237,-,-,-,t,S,i,-
chic1269,-,-,-,t,S,i,-
toch1258,-,-,-,t,S,i,-
kana1290,-,-,-,t,S,i,-
iyob1237,-,-,-,t,S,i,-
tott1237,-,-,-,t,S,i,-
miee1237,-,-,-,t,S,i,-
kaga1258,-,-,-,t,S,i,-
toku1245,-,-,-,t,S,i,-
kyot1238,-,-,-,t,S,i,-
osak1237,-,-,-,t,S,i,-
waka1279,-,-,-,t,S,i,-
shig1237,-,-,-,t,S,i,-
kobe1244,-,-,-,t,S,i,-
okay1237,-,-,-,t,S,i,-
yama1261,-,-,-,t,S,i,-
fuku1241,-,-,-,t,S,i,-
kana1289,-,-,-,t,S,i,-
naga1408,-,-,-,t,S,i,-
hiro1237,-,-,-,t,S,i,-
ibar1242,-,-,-,t,S,i,-
chib1248,-,-,-,t,S,i,-
hata1244,-,-,-,t,S,i,-
toya1237,-,-,-,t,S,i,-
niig1237,-,-,-,t,S,i,-
fuku1243,-,-,-,t,S,i,-
send1240,-,-,-,t,s,u,-
yama1262,-,-,-,t,S,i,-
akit1240,-,-,-,t,S,i,-
tsug1237,-,-,-,t,S,i,-
kese1237,-,-,-,t,s,u,-
izum1237,-,-,-,t,S,i,-
hach1239,-,-,-,t,S,i,-
saga1265,-,-,-,t,S,i,-
nort2935,-,-,-,t,S,i,-
oldj1239,-,-,-,t,-,i,-
