language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
ishi1240,-,-,-,-,t,s,-,-,i,3,b,-,-,u,r,i,3,-,-,-,-,-,-
take1256,-,-,-,-,-,s,-,-,-,u,b,-,-,u,r,-,u,-,-,-,-,-,-
hate1238,-,-,-,-,-,-,-,-,-,a,m,-,-,-,-,-,a,s,u,k,u,r,u
naze1238,-,-,-,-,t,s,-,7,i,3,b,-,-,u,r,-,u,-,-,-,-,-,-
okin1244,-,-,-,-,t,S,-,-,-,i,b,-,-,u,r,-,u,-,-,-,-,-,-
yona1241,-,-,-,-,-,-,-,-,-,-,N,g,7,u,s,-,a,-,-,-,-,-,-
miya1260,k,a,-,-,n,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,i,-,3
irab1238,k,a,-,-,n,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,l
tara1319,k,a,-,-,n,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,l
ikem1235,k,a,-,-,n,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,i
chik1251,-,-,-,-,d,z,u,k,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-
kuma1281,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
naga1405,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
miya1258,b,i,-,N,t,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
oita1237,k,a,S,i,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
toky1238,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
yama1263,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
hokk1243,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
gifu1238,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
gifu1238,s,u,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-
shiz1237,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
gunm1237,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
chic1269,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
toch1258,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
kana1290,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
iyob1237,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
tott1237,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
miee1237,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
kaga1258,-,a,-,-,t,-,-,-,-,a,n,-,-,-,-,-,a,-,-,-,-,-,-
toku1245,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
kyot1238,-,o,-,-,t,s,-,-,-,u,m,-,-,-,-,-,u,-,-,-,-,-,-
osak1237,-,o,-,-,t,s,-,-,-,u,m,-,-,-,-,-,o,-,-,-,-,-,-
waka1279,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
shig1237,d,o,-,-,s,-,-,-,-,u,k,-,-,-,-,-,o,-,-,-,-,-,-
kobe1244,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
okay1237,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
yama1261,-,-,-,-,-,-,-,-,-,o,m,-,-,u,t,s,u,-,-,-,-,-,-
fuku1241,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
kana1289,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
naga1408,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
hiro1237,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
ibar1242,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
chib1248,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
hata1244,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
toya1237,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
niig1237,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
fuku1243,-,a,-,-,d,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
send1240,-,a,-,-,d,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
yama1262,-,a,-,-,d,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
akit1240,-,a,-,-,d,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
tsug1237,-,a,-,-,d,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
kese1237,-,a,-,-,d,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
izum1237,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
hach1239,-,-,-,-,t,s,-,-,-,u,b,-,-,u,r,-,i,-,-,-,-,-,-
saga1265,-,a,-,-,t,-,-,-,-,a,m,-,-,-,-,-,a,-,-,-,-,-,-
nort2935,-,-,-,-,d,z,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-
oldj1239,k,a,S,i,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
