language,x1,x2,x3,x4,x5,x6,x7,x8,x9
ishi1240,s,-,i,3,k,-,-,u,N
take1256,s,-,i,3,k,-,-,u,N
hate1238,s,-,i,3,k,-,-,u,N
naze1238,k,-,i,-,k,-,y,u,N
okin1244,k,-,i,-,k,-,-,u,N
yona1241,k,-,-,-,7,-,-,u,N
irab1238,t,s,i,3,t,s,i,3,-
ikem1235,t,S,i,-,b,-,-,u,-
chik1251,k,-,i,-,k,-,-,u,-
kuma1281,k,-,i,-,k,-,-,u,-
naga1405,k,-,i,-,k,-,-,u,-
miya1258,k,-,i,-,k,-,-,u,-
oita1237,k,-,i,-,k,-,-,u,-
toky1238,k,-,i,-,k,-,-,u,-
yama1263,k,-,i,-,k,-,-,u,-
hokk1243,k,-,i,-,k,-,-,u,-
gifu1238,k,-,i,-,k,-,-,u,-
gifu1238,k,-,i,-,k,-,-,u,-
shiz1237,k,-,i,-,k,-,-,u,-
gunm1237,k,-,i,-,k,-,-,u,-
chic1269,k,-,i,-,k,-,-,u,-
toch1258,k,-,i,-,k,-,-,u,-
kana1290,k,-,i,-,k,-,-,u,-
iyob1237,k,-,i,-,k,-,-,u,-
tott1237,k,-,i,-,k,-,-,u,-
miee1237,k,-,i,-,k,-,-,u,-
kaga1258,k,-,i,-,k,-,-,u,-
toku1245,k,-,i,-,k,-,-,u,-
kyot1238,k,-,i,-,k,-,-,u,-
osak1237,k,-,i,-,k,-,-,u,-
waka1279,k,-,i,-,k,-,-,u,-
shig1237,k,-,i,-,k,-,-,u,-
kobe1244,k,-,i,-,k,-,-,u,-
okay1237,k,-,i,-,k,-,-,u,-
yama1261,k,-,i,-,k,-,-,u,-
fuku1241,k,-,i,-,k,-,-,u,-
kana1289,k,-,i,-,k,-,-,u,-
naga1408,k,-,i,-,k,-,-,u,-
hiro1237,k,-,i,-,k,-,-,u,-
ibar1242,k,-,i,-,k,-,-,u,-
chib1248,k,-,i,-,k,-,-,u,-
hata1244,k,-,i,-,k,-,-,u,-
toya1237,k,-,i,-,k,-,-,u,-
niig1237,k,-,i,-,k,-,-,u,-
fuku1243,k,-,i,-,g,-,-,u,-
send1240,k,-,i,-,g,-,-,u,-
yama1262,k,-,i,-,k,-,-,u,-
akit1240,k,-,i,-,g,-,-,u,-
tsug1237,k,-,i,-,g,-,-,u,-
kese1237,k,-,i,-,g,-,-,u,-
izum1237,k,-,i,-,k,-,-,u,-
hach1239,k,-,i,-,k,-,-,u,-
saga1265,k,-,i,-,k,-,-,u,-
nort2935,k,-,i,-,7,-,-,-,-
oldj1239,k,-,i,-,k,-,-,u,-
