language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
ishi1240,k,u,-,r,a,-,s,-,u,N
take1256,k,u,-,r,a,-,s,-,u,N
hate1238,k,u,-,r,a,-,s,-,u,N
naze1238,k,u,7,t,-,-,S,-,u,N
okin1244,k,u,-,r,u,-,s,-,u,N
yona1241,k,u,-,r,-,-,-,-,u,N
miya1260,k,u,-,r,u,-,s,i,3,-
irab1238,k,u,-,r,u,-,s,i,3,-
tara1319,k,u,-,r,u,-,s,i,3,-
ikem1235,k,u,-,r,a,-,s,i,3,-
chik1251,k,o,-,r,o,-,s,-,u,-
kuma1281,k,o,-,r,o,-,s,-,u,-
naga1405,k,o,-,r,o,-,s,-,u,-
miya1258,k,o,-,r,o,-,s,-,u,-
oita1237,k,o,-,r,o,-,s,-,u,-
toky1238,k,o,-,r,o,-,s,-,u,-
yama1263,k,o,-,r,o,-,s,-,u,-
hokk1243,k,o,-,r,o,-,s,-,u,-
gifu1238,k,o,-,r,o,-,s,-,u,-
gifu1238,k,o,-,r,o,-,s,-,u,-
shiz1237,k,o,-,r,o,-,s,-,u,-
gunm1237,k,o,-,r,o,-,s,-,u,-
chic1269,k,o,-,r,o,-,s,-,u,-
toch1258,k,o,-,r,o,-,s,-,u,-
kana1290,k,o,-,r,o,-,s,-,u,-
iyob1237,k,o,-,r,o,-,s,-,u,-
tott1237,k,o,-,r,o,-,s,-,u,-
miee1237,k,o,-,r,o,-,s,-,u,-
kaga1258,k,o,-,r,o,-,s,-,u,-
toku1245,k,o,-,r,o,-,s,-,u,-
kyot1238,k,o,-,r,o,-,s,-,u,-
osak1237,k,o,-,r,o,-,s,-,u,-
waka1279,k,o,-,r,o,-,s,-,u,-
shig1237,k,o,-,r,o,-,s,-,u,-
kobe1244,k,o,-,r,o,-,s,-,u,-
okay1237,k,o,-,r,o,-,s,-,u,-
yama1261,k,o,-,r,o,-,s,-,u,-
fuku1241,k,o,-,r,o,-,s,-,u,-
kana1289,k,o,-,r,o,-,s,-,u,-
naga1408,k,o,-,r,o,-,s,-,u,-
hiro1237,k,o,-,n,o,-,s,-,u,-
ibar1242,k,o,-,r,o,-,s,-,u,-
chib1248,k,o,-,r,o,-,s,-,u,-
hata1244,k,o,-,r,o,-,s,-,u,-
toya1237,k,o,-,r,o,-,s,-,u,-
niig1237,k,o,-,r,o,-,s,-,u,-
fuku1243,k,o,-,r,o,-,s,-,u,-
send1240,k,o,-,r,o,-,s,-,u,-
yama1262,k,o,-,r,o,-,S,-,i,-
akit1240,k,o,-,r,o,-,S,-,i,-
tsug1237,k,o,-,r,o,-,s,-,u,-
kese1237,k,o,-,r,o,-,s,-,u,-
izum1237,k,o,-,r,o,-,S,-,i,-
hach1239,k,o,-,r,o,-,s,-,u,-
saga1265,k,o,-,r,o,-,s,-,u,-
nort2935,k,o,-,r,o,-,s,-,u,-
oldj1239,k,o,-,r,o,e,s,-,u,-
