language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
ishi1240,b,i,g,i,d,u,N,-,-,-,-
take1256,b,i,k,i,d,u,m,-,-,u,-
hate1238,b,-,-,i,d,u,m,-,-,u,-
naze1238,-,i,N,-,g,-,-,-,-,a,-
okin1244,-,i,k,i,g,-,-,-,-,a,-
yona1241,b,i,N,-,g,-,-,-,-,a,-
yona1241,b,i,N,-,g,-,-,-,-,a,-
miya1260,b,i,k,i,d,-,-,-,-,u,m
irab1238,b,i,k,i,d,-,-,-,-,u,m
tara1319,b,i,k,i,d,-,-,-,-,u,m
ikem1235,b,i,k,i,d,-,-,-,-,u,l
chik1251,-,o,-,-,t,o,k,-,-,o,-
kuma1281,-,o,-,-,t,o,k,-,-,o,-
naga1405,-,o,-,-,t,o,k,-,-,o,-
miya1258,-,o,-,-,t,o,k,-,-,o,-
oita1237,-,o,-,-,t,o,k,-,-,o,-
toky1238,-,o,-,-,t,o,k,-,-,o,-
yama1263,-,o,-,-,t,o,k,-,-,o,-
hokk1243,-,o,-,-,t,o,k,-,-,o,-
gifu1238,-,o,-,-,t,o,k,-,-,o,-
gifu1238,-,o,-,-,t,o,k,-,-,o,-
shiz1237,-,o,-,-,t,o,k,-,-,o,-
gunm1237,-,o,-,-,t,o,k,-,-,o,-
chic1269,-,o,-,-,t,o,k,-,-,o,-
toch1258,-,o,-,-,t,o,k,-,-,o,-
kana1290,-,o,-,-,t,o,k,-,-,o,-
iyob1237,-,o,-,-,t,o,k,-,-,o,-
tott1237,-,o,-,-,t,o,k,-,-,o,-
miee1237,-,o,-,-,t,o,k,-,-,o,-
kaga1258,-,o,-,-,t,o,k,-,-,o,-
toku1245,-,o,-,-,t,o,k,-,-,o,-
kyot1238,-,o,-,-,t,o,k,-,-,o,-
osak1237,-,o,-,-,t,o,k,-,-,o,-
waka1279,-,o,-,-,t,o,k,-,-,o,-
shig1237,-,o,-,-,t,o,k,-,-,o,-
kobe1244,-,o,-,-,t,o,k,-,-,o,-
okay1237,-,o,-,-,t,o,k,-,-,o,-
yama1261,-,o,-,-,t,o,k,-,-,o,-
fuku1241,-,o,-,-,t,o,k,-,-,o,-
kana1289,-,o,-,-,t,o,k,-,-,o,-
naga1408,-,o,-,-,t,o,k,-,-,o,-
hiro1237,-,o,-,-,t,o,k,-,-,o,-
ibar1242,-,o,-,-,t,o,k,-,-,o,-
chib1248,-,o,-,-,t,o,-,-,-,-,-
hata1244,-,o,-,-,t,o,k,-,-,o,-
toya1237,-,o,-,-,t,o,k,-,-,o,-
niig1237,-,o,-,-,t,o,k,-,-,o,-
fuku1243,-,o,-,-,d,o,g,-,-,o,-
send1240,-,o,-,-,d,o,g,-,-,o,-
yama1262,-,o,-,-,d,o,g,-,-,o,-
akit1240,-,o,-,-,d,o,k,-,-,o,-
tsug1237,-,o,-,-,d,o,k,-,-,o,-
kese1237,-,o,-,-,d,o,g,-,-,o,-
izum1237,-,o,-,-,t,o,k,-,-,o,-
hach1239,-,o,-,-,n,o,k,o,g,o,-
saga1265,-,o,-,-,t,o,k,-,-,o,-
nort2935,-,o,-,-,t,o,k,-,-,o,-
oldj1239,-,-,-,-,-,-,w,-,-,o,-
