language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
ishi1240,-,-,g,a,-,d,z,a,N,-,-
take1256,-,-,g,a,-,d,z,a,N,-,-
hate1238,-,-,g,a,N,d,z,a,N,-,-
naze1238,-,-,g,a,-,d,Z,a,N,-,-
okin1244,-,-,g,a,-,d,Z,a,N,-,-
yona1241,-,-,k,a,-,d,-,a,N,k,u
miya1260,-,-,g,a,-,d,z,a,m,-,-
irab1238,-,-,k,a,-,d,z,a,m,-,-
tara1319,-,-,g,a,-,d,Z,a,m,-,-
ikem1235,-,-,g,a,-,d,Z,a,N,-,-
chik1251,-,-,k,a,-,-,-,-,-,-,-
kuma1281,-,-,k,a,-,-,-,-,-,-,-
naga1405,-,-,k,a,-,-,-,-,-,-,-
miya1258,-,-,k,a,-,-,-,-,-,-,-
oita1237,-,-,k,a,-,-,-,-,-,-,-
toky1238,-,-,k,a,-,-,-,-,-,-,-
yama1263,-,-,k,a,-,-,-,-,-,-,-
hokk1243,-,-,k,a,-,-,-,-,-,-,-
gifu1238,-,-,k,a,-,-,-,-,-,-,-
gifu1238,-,-,k,a,-,-,N,-,s,-,u
shiz1237,-,-,k,a,-,-,-,-,-,-,-
gunm1237,-,-,k,a,-,-,-,-,-,-,-
chic1269,-,-,k,a,-,-,-,-,-,-,-
toch1258,-,-,k,a,-,-,-,-,-,-,-
kana1290,-,-,k,a,-,-,-,-,-,-,-
iyob1237,-,-,k,a,-,-,-,-,-,-,-
tott1237,-,-,k,a,-,-,-,-,-,-,-
miee1237,-,-,k,a,-,-,-,-,-,-,-
kaga1258,-,-,k,a,-,-,-,-,-,-,-
toku1245,-,-,k,a,-,-,-,-,-,-,-
kyot1238,-,-,k,a,-,-,-,-,-,-,-
osak1237,-,-,k,a,-,-,-,-,-,-,-
waka1279,-,-,k,a,-,-,-,-,-,-,-
shig1237,-,-,k,a,-,-,-,-,-,-,-
kobe1244,-,-,k,a,-,-,-,-,-,-,-
okay1237,-,-,k,a,-,-,-,-,-,-,-
yama1261,-,-,k,a,-,-,-,-,-,-,-
fuku1241,-,-,k,a,-,-,-,-,-,-,-
kana1289,-,-,k,a,-,-,-,-,-,-,-
naga1408,-,-,k,a,-,-,-,-,-,-,-
hiro1237,-,-,k,a,-,-,-,-,-,-,-
ibar1242,-,-,k,a,-,-,N,-,m,-,e
chib1248,-,-,k,a,-,-,-,-,-,-,-
hata1244,-,-,k,a,-,-,-,-,-,-,-
toya1237,-,-,k,a,-,-,-,-,-,-,-
niig1237,-,-,k,a,-,-,-,-,-,-,-
fuku1243,-,-,k,a,-,-,-,-,-,-,-
send1240,-,-,k,a,-,-,-,-,-,-,-
yama1262,-,-,k,a,-,-,-,-,-,-,-
akit1240,y,o,N,a,-,-,-,-,-,-,-
tsug1237,y,o,N,a,-,-,-,-,-,-,-
kese1237,-,-,k,a,-,-,-,-,-,-,-
izum1237,-,-,k,a,-,-,-,-,-,-,-
hach1239,-,-,k,a,-,-,b,u,m,-,e
saga1265,-,-,k,a,-,-,-,-,-,-,-
nort2935,-,-,k,a,-,-,-,-,-,-,-
oldj1239,-,-,k,a,-,-,-,-,-,-,-
