language,x1,x2,x3,x4,x5,x6,x7,x8
ishi1240,n,u,-,-,-,-,-,-
take1256,n,a,-,n,-,-,u,-
hate1238,n,u,-,-,-,-,-,-
naze1238,n,e,-,-,-,-,3,N
okin1244,n,e,-,-,-,-,N,-
yona1241,n,u,-,-,-,-,N,-
miya1260,5,a,-,-,-,-,N,-
irab1238,5,a,-,-,-,-,N,-
tara1319,n,e,-,-,-,-,N,-
ikem1235,5,a,-,-,-,-,N,-
chik1251,n,a,-,k,-,-,a,-
kuma1281,n,a,-,k,-,-,a,-
naga1405,n,a,-,k,-,-,a,-
miya1258,n,-,-,-,-,-,e,-
oita1237,n,-,-,-,-,-,e,-
toky1238,n,a,-,-,-,-,i,-
yama1263,n,a,-,-,-,-,i,-
hokk1243,n,a,-,-,-,-,i,-
gifu1238,n,E,-,-,-,-,-,-
gifu1238,n,E,-,-,-,-,-,-
shiz1237,n,-,-,-,-,-,e,-
gunm1237,n,a,-,-,-,-,i,-
chic1269,n,-,-,-,-,-,e,-
toch1258,n,-,-,-,-,-,e,-
kana1290,n,-,-,-,-,-,e,-
iyob1237,n,a,-,-,-,-,i,-
tott1237,n,a,-,-,-,-,i,-
miee1237,n,a,-,-,-,-,i,-
kaga1258,n,a,-,-,-,-,i,-
toku1245,n,a,-,-,-,-,i,-
kyot1238,n,a,-,-,-,-,i,-
osak1237,n,a,-,-,-,-,i,-
waka1279,n,a,-,-,-,-,i,-
shig1237,n,a,-,-,-,-,i,-
kobe1244,-,a,-,r,a,h,e,N
okay1237,n,E,-,-,-,-,-,-
yama1261,n,E,-,-,-,-,-,-
fuku1241,n,-,-,-,-,-,e,-
kana1289,n,a,-,-,-,-,i,-
naga1408,n,-,-,-,-,-,e,-
hiro1237,n,a,-,-,-,-,-,-
ibar1242,n,a,-,-,-,-,e,-
chib1248,n,E,-,-,-,-,-,-
hata1244,n,a,-,-,-,-,i,-
toya1237,n,a,-,-,-,-,i,-
niig1237,n,E,-,-,-,-,-,-
fuku1243,n,a,-,-,-,-,i,-
send1240,n,E,-,-,-,-,-,-
yama1262,n,E,-,-,-,-,-,-
akit1240,n,E,-,-,-,-,-,-
tsug1237,n,E,-,-,-,-,-,-
kese1237,n,E,-,-,-,-,-,-
izum1237,n,-,-,-,-,-,e,-
hach1239,n,a,7,k,-,-,y,a
saga1265,n,a,-,k,-,-,a,-
nort2935,n,-,-,-,-,-,e,-
oldj1239,n,-,-,-,-,-,u,-
