language,x1,x2,x3,x4,x5,x6,x7
ishi1240,k,a,-,d,Z,i,-
take1256,k,a,-,d,Z,i,-
hate1238,k,a,-,d,Z,i,-
naze1238,k,a,-,d,Z,e,3
okin1244,h,a,-,d,Z,i,-
yona1241,k,a,-,d,-,i,-
miya1260,k,a,-,d,Z,i,-
irab1238,k,a,-,d,Z,i,-
tara1319,k,a,-,d,-,i,-
ikem1235,k,a,-,d,-,i,-
chik1251,k,a,-,-,y,e,-
kuma1281,k,a,-,-,y,e,-
naga1405,k,a,-,-,y,e,-
miya1258,k,a,-,-,y,e,-
oita1237,k,a,-,-,y,e,-
toky1238,k,a,-,d,z,e,-
yama1263,k,a,-,d,z,e,-
hokk1243,k,a,-,d,z,e,-
gifu1238,k,a,-,d,z,e,-
gifu1238,k,a,-,d,z,e,-
shiz1237,k,a,-,d,z,e,-
gunm1237,k,a,-,d,z,e,-
chic1269,k,a,-,d,z,e,-
toch1258,k,a,-,d,z,e,-
kana1290,k,a,-,d,z,e,-
iyob1237,k,a,-,d,z,e,-
tott1237,k,a,-,d,z,e,-
miee1237,k,a,-,d,z,e,-
kaga1258,k,a,-,d,z,e,-
toku1245,k,a,-,d,z,e,-
kyot1238,k,a,-,d,z,e,-
osak1237,k,a,-,d,z,e,-
waka1279,k,a,-,d,z,e,-
shig1237,k,a,-,d,z,e,-
kobe1244,k,a,-,d,z,e,-
okay1237,k,a,-,d,z,e,-
yama1261,k,a,-,-,y,e,-
fuku1241,k,a,-,-,y,e,-
kana1289,k,a,-,d,z,e,-
naga1408,k,a,-,d,z,e,-
hiro1237,k,a,-,d,-,e,-
ibar1242,k,a,-,d,z,e,-
chib1248,k,a,-,d,-,e,-
hata1244,k,a,-,d,z,e,-
toya1237,k,a,-,d,z,e,-
niig1237,k,a,-,d,z,e,-
fuku1243,k,a,-,d,z,e,-
send1240,k,a,-,N,y,e,-
yama1262,k,a,N,d,z,e,-
akit1240,k,a,-,N,y,e,-
tsug1237,k,a,N,d,z,e,-
kese1237,k,a,N,d,z,e,-
izum1237,k,a,-,d,z,e,-
hach1239,k,a,-,d,z,e,-
saga1265,k,a,-,-,y,e,-
nort2935,k,a,-,d,z,e,-
oldj1239,k,a,-,d,z,e,-
