language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
eude1234,b,-,-,a,k,-,-,-,o,-,o,-,-,-,-,-,t,-,s
opat1246,-,-,-,-,k,-,-,-,-,-,o,-,-,-,-,-,-,-,-
opat1246,-,-,-,-,s,-,-,-,i,n,o,-,-,-,-,-,t,-,-
yaqu1251,b,a,a,a,k,-,-,-,-,-,o,-,-,-,-,-,t,-,-
mayo1264,b,a,a,a,k,-,-,-,-,-,o,-,-,-,-,-,t,-,-
sout3136,-,-,-,-,k,-,-,-,-,-,o,-,-,-,-,-,-,-,-
sout3136,-,-,-,-,s,-,-,-,i,n,o,-,-,-,-,-,-,-,-
lowl1264,-,-,-,-,s,i,i,7,i,n,o,-,-,-,-,-,w,e,e
lowl1264,-,-,-,-,s,-,i,7,i,n,o,-,-,-,-,-,-,-,i
tuba1279,-,-,-,-,k,-,-,-,-,-,o,-,-,-,o,o,t,-,-
tuba1279,-,-,-,-,h,i,i,s,i,n,a,w,e,r,a,a,t,-,-
tepi1240,-,-,-,-,k,-,-,-,-,-,o,-,-,-,-,o,7,o,i
