language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
nucl1235,-,-,-,o,n,-,t,-,o,-,r,-
mode1248,-,8,-,a,-,-,s,-,o,-,s,-
stan1288,-,b,-,o,-,-,s,k,e,-,-,-
port1283,-,f,l,u,r,E,S,t,a,-,-,-
ital1282,-,b,-,o,-,-,s,k,o,-,-,-
stan1289,-,b,-,o,-,-,s,k,-,-,-,-
stan1290,-,b,-,-,-,-,-,w,a,-,-,-
swed1254,-,-,-,-,-,-,s,k,u,-,g,-
dani1285,-,-,-,-,-,-,s,g,o,-,w,-
dutc1256,-,b,-,o,-,-,s,-,-,-,-,-
stan1295,-,v,-,a,l,-,t,-,-,-,-,-
stan1293,-,w,-,u,d,-,z,-,-,-,-,-
czec1258,-,l,-,E,-,-,s,-,-,-,-,-
russ1263,-,l,y,e,-,-,s,-,-,-,-,-
poli1260,-,l,-,a,-,-,s,-,-,-,-,-
bret1244,k,w,-,a,-,-,t,-,-,-,-,-
mait1250,-,-,-,-,-,-,-,k,a,t,h,-
urdu1245,-,j,-,3,-,-,-,g,3,-,l,-
mara1378,d,z,h,a,-,-,-,-,-,-,d,i
mara1378,d,Z,-,a,-,-,N,g,3,-,l,-
oriy1255,-,y,-,o,-,-,N,g,o,-,l,o
oriy1255,-,b,-,o,-,-,n,-,-,-,-,o
