language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
nucl1235,-,-,-,-,-,-,-,c,i,u,n,-,-,-,-,-,-
mode1248,-,-,-,-,-,-,-,S,-,o,n,-,i,-,-,-,-
stan1288,-,-,-,-,-,-,-,-,-,-,n,y,e,-,-,b,e
port1283,-,-,-,-,-,-,-,-,-,-,n,-,E,-,-,v,3
ital1282,-,-,-,-,-,-,-,-,-,-,n,-,e,-,-,v,e
stan1289,-,-,-,-,-,-,-,-,-,-,n,-,e,-,-,w,-
stan1290,-,-,-,-,-,-,-,-,-,-,n,-,E,-,-,Z,-
swed1254,-,-,-,-,-,-,-,s,-,-,n,-,e,-,-,-,-
dani1285,-,-,-,-,-,-,-,s,-,-,n,-,e,-,-,-,-
dutc1256,-,-,-,-,-,-,-,s,-,-,n,-,e,-,-,w,-
stan1295,-,-,-,-,-,-,-,S,-,-,n,-,e,-,-,-,-
stan1293,-,-,-,-,-,-,-,s,-,-,n,-,3,-,-,u,-
czec1258,-,-,-,-,-,-,-,s,-,-,n,-,i,-,-,x,-
russ1263,-,-,-,-,-,-,-,s,-,-,n,y,e,-,-,g,-
poli1260,-,-,-,-,-,-,-,S,-,-,5,-,E,-,-,k,-
bret1244,-,-,-,-,-,-,-,-,-,-,-,-,E,r,-,x,-
mait1250,b,3,r,-,p,h,k,h,-,-,-,-,3,s,3,b,-
urdu1245,b,3,r,-,f,-,-,-,-,-,-,-,-,-,-,-,-
mara1378,b,3,r,-,f,-,-,-,-,-,-,-,3,-,-,-,-
oriy1255,-,-,t,u,-,-,-,s,a,-,r,-,o,-,-,-,-
oriy1255,b,o,r,o,p,-,-,h,-,-,-,-,o,-,-,-,-
