language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
yuet1238,-,-,-,-,-,m,-,-,-,e,-
guan1279,-,-,u,-,-,t,s,-,-,o,u
guan1279,-,-,u,-,-,t,s,-,-,o,u
chen1267,-,n,3,-,-,u,s,-,-,3,u
chen1267,-,n,3,-,-,u,s,-,-,3,u
chen1267,-,l,a,-,-,t,h,-,-,a,-
chen1267,-,l,a,-,-,t,h,-,-,a,-
chen1267,-,-,-,-,-,t,s,-,-,a,N
chan1326,-,l,a,-,-,t,h,-,-,a,-
chan1326,-,l,a,-,-,t,h,-,-,a,-
chan1326,-,-,-,-,-,t,s,-,-,a,n
jina1245,-,-,-,-,-,t,s,-,-,o,N
taiy1243,-,-,-,-,-,t,s,-,-,o,-
beij1234,-,-,-,-,-,t,s,-,-,o,N
haer1234,-,m,a,i,-,t,h,-,-,a,i
haer1234,-,m,a,i,-,t,h,-,-,a,i
haer1234,-,-,-,-,-,t,s,-,-,a,N
rong1271,-,-,-,-,-,t,s,-,-,a,N
nanj1234,-,-,-,-,-,t,s,-,-,o,-
nanc1254,-,N,a,-,-,t,s,-,-,a,-
nanc1254,-,N,a,-,-,t,s,-,-,a,-
nanc1254,-,-,-,-,-,t,s,-,-,o,N
xian1253,-,-,-,-,-,t,s,-,-,o,N
guil1241,-,l,a,-,-,t,h,-,-,a,-
guil1241,-,l,a,-,-,t,h,-,-,a,-
loud1234,p,h,a,-,-,-,l,-,-,a,-
loud1234,p,h,a,-,-,-,l,-,-,a,-
jixi1238,-,v,o,-,-,7,l,-,-,o,-
jixi1238,-,v,o,-,-,7,l,-,-,o,-
suzh1234,-,-,o,7,-,t,s,h,-,o,7
suzh1234,-,-,o,7,-,t,s,h,-,o,7
ouji1238,-,-,3,-,-,t,s,-,-,3,-
ouji1238,-,-,3,-,-,t,s,-,-,3,-
fuzh1239,-,-,o,u,7,t,s,h,w,o,7
fuzh1239,-,-,o,u,7,t,s,h,w,o,7
fuzh1239,-,l,a,-,-,t,s,h,-,a,-
fuzh1239,-,l,a,-,-,t,s,h,-,a,-
xiam1236,-,l,a,-,-,u,s,y,-,o,N
xiam1236,-,l,a,-,-,u,s,y,-,o,N
