language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
yuet1238,-,-,-,-,-,f,e,u,-,-
guan1279,p,h,y,-,u,f,a,u,-,-
guan1279,p,h,y,-,u,f,a,u,-,-
chen1267,p,h,y,a,-,-,-,u,-,-
chan1326,p,h,y,a,u,f,-,u,-,-
chan1326,p,h,y,a,u,f,-,u,-,-
jina1245,p,h,y,-,o,f,-,u,-,-
jina1245,p,h,y,-,o,f,-,u,-,-
taiy1243,p,h,y,-,o,-,-,u,-,-
beij1234,p,h,y,o,u,f,-,u,-,-
beij1234,p,h,y,o,u,f,-,u,-,-
haer1234,p,h,y,a,u,f,-,u,-,-
haer1234,p,h,y,a,u,f,-,u,-,-
rong1271,p,h,y,a,u,f,-,u,-,-
rong1271,p,h,y,a,u,f,-,u,-,-
nanj1234,p,-,y,-,-,-,-,o,-,-
nanj1234,-,-,-,-,-,f,-,u,-,-
nanj1234,p,h,y,-,o,f,-,u,-,-
nanj1234,p,h,y,-,o,f,-,u,-,-
nanc1254,p,h,y,E,u,f,E,u,-,-
nanc1254,p,h,y,E,u,f,E,u,-,-
nanc1254,f,-,-,-,-,-,3,u,-,-
nanc1254,p,h,y,-,-,-,E,u,-,-
xian1253,f,-,-,-,-,-,-,u,-,-
xian1253,p,h,y,a,-,-,-,u,-,-
guil1241,f,-,-,-,u,t,o,u,-,-
guil1241,f,-,-,-,u,t,o,u,-,-
loud1234,b,-,-,-,-,-,-,o,-,-
jixi1238,p,h,y,e,-,f,-,u,-,-
jixi1238,p,h,y,e,-,f,-,u,-,-
jixi1238,-,-,-,-,-,f,-,u,-,-
suzh1234,t,h,-,-,-,-,-,3,n,-
ouji1238,-,t,-,-,-,-,-,a,N,-
ouji1238,-,v,-,-,-,-,-,3,-,-
fuzh1239,p,h,-,-,-,-,-,u,l,E
fuzh1239,p,h,-,-,-,-,-,u,l,E
fuzh1239,p,h,y,e,-,-,-,u,l,E
fuzh1239,p,h,y,e,-,-,-,u,l,E
xiam1236,p,h,-,-,-,-,-,u,-,-
