language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
yuet1238,-,-,-,-,-,-,-,-,-,-,e,-,y,-,e,-,-,-
yuet1238,-,-,-,-,-,-,-,-,-,-,e,-,y,-,e,-,-,-
guan1279,-,-,-,-,-,-,-,-,-,-,-,-,l,-,i,t,o,u
guan1279,-,-,-,-,-,-,-,-,-,-,-,-,l,-,i,t,o,u
chen1267,-,-,-,-,-,t,-,s,e,k,3,-,t,-,i,f,a,-
chen1267,-,-,-,-,-,t,-,s,e,k,3,-,t,-,i,f,a,-
chen1267,-,-,-,-,-,t,-,s,e,k,3,-,t,-,i,f,a,-
chen1267,-,-,-,-,-,t,-,s,e,k,3,-,t,-,i,f,a,-
chen1267,-,-,-,-,-,t,-,s,-,-,3,-,-,-,-,-,-,-
chan1326,-,-,-,-,-,-,-,-,-,k,o,-,l,-,i,-,-,-
chan1326,-,-,-,-,-,-,-,-,-,k,o,-,l,-,i,-,-,-
jina1245,-,-,-,-,-,t,-,S,-,-,o,-,l,-,i,-,-,-
jina1245,-,-,-,-,-,t,-,S,-,-,o,-,l,-,i,-,-,-
taiy1243,-,-,-,-,-,t,-,s,-,-,3,7,l,-,i,-,-,-
taiy1243,-,-,-,-,-,t,-,s,-,-,3,7,l,-,i,-,-,-
beij1234,-,-,-,-,-,t,-,S,-,-,o,-,l,-,i,-,-,-
beij1234,-,-,-,-,-,t,-,S,-,-,o,-,l,-,i,-,-,-
haer1234,-,-,-,-,-,t,-,S,-,-,o,-,-,-,-,-,-,-
haer1234,-,-,-,-,-,t,-,S,-,-,o,-,k,-,a,-,-,-
haer1234,-,-,-,-,-,t,-,S,-,-,o,-,k,-,a,-,-,-
haer1234,-,-,-,-,-,t,-,S,-,-,o,-,l,-,i,-,-,-
haer1234,-,-,-,-,-,t,-,S,-,-,o,-,l,-,i,-,-,-
rong1271,-,-,-,-,-,t,-,S,-,-,E,-,l,-,i,-,-,-
rong1271,-,-,-,-,-,t,-,S,-,-,E,-,l,-,i,-,-,-
nanj1234,-,-,-,-,-,t,-,S,-,-,e,k,h,w,E,-,-,-
nanj1234,-,-,-,-,-,t,-,S,-,-,e,k,h,w,E,-,-,-
nanc1254,-,-,-,-,-,k,-,-,-,-,o,-,l,-,i,-,-,-
nanc1254,-,-,-,-,-,k,-,-,-,-,o,-,l,-,i,-,-,-
xian1253,-,-,-,-,-,t,-,S,-,-,o,-,-,-,-,-,-,-
guil1241,i,k,w,o,-,t,i,f,-,-,o,-,N,-,-,-,-,-
guil1241,i,k,w,o,-,t,i,f,-,-,o,-,N,-,-,-,-,-
guil1241,i,k,w,o,-,t,i,f,-,-,o,-,N,-,-,-,-,-
guil1241,i,k,w,o,-,t,i,f,-,-,o,-,N,-,-,-,-,-
jixi1238,-,-,-,n,n,t,-,-,-,-,a,-,7,-,-,-,-,-
jixi1238,-,-,-,n,n,t,-,-,-,-,a,-,7,-,-,-,-,-
suzh1234,-,k,-,e,-,t,-,-,-,-,a,-,7,-,-,-,-,-
suzh1234,-,k,-,e,-,t,-,-,-,-,a,-,7,-,-,-,-,-
ouji1238,-,k,-,-,-,-,-,-,-,-,i,-,l,e,i,-,-,-
ouji1238,-,k,-,-,-,-,-,-,-,-,i,-,l,e,i,-,-,-
fuzh1239,-,-,-,-,-,t,-,s,-,-,i,-,l,y,e,-,-,-
fuzh1239,-,-,-,-,-,t,-,s,-,-,i,-,l,y,e,-,-,-
xiam1236,-,-,-,-,-,t,-,s,-,-,i,t,t,-,e,-,-,-
xiam1236,-,-,-,-,-,t,-,s,-,-,i,t,t,-,e,-,-,-
