language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
yuet1238,-,-,-,-,k,-,-,-,-,-,-,o,-,k,-,v,e
yuet1238,-,-,-,-,k,-,-,-,-,-,-,o,-,k,-,v,e
guan1279,-,-,-,-,k,-,-,-,-,-,-,o,-,k,-,-,-
chen1267,-,-,-,-,t,S,y,o,t,S,y,o,-,-,-,-,-
chen1267,-,-,-,-,t,S,y,o,t,S,y,o,-,-,-,-,-
chan1326,-,-,-,-,t,S,y,-,-,-,-,o,-,-,-,-,-
jina1245,-,-,-,-,t,S,y,-,-,-,-,o,-,-,-,-,-
taiy1243,-,-,-,-,t,S,y,-,-,-,-,3,-,7,-,-,-
beij1234,-,-,-,-,t,S,y,-,-,-,-,o,-,u,-,-,-
haer1234,-,-,-,-,t,S,y,-,-,-,-,a,-,u,-,-,-
rong1271,-,-,-,-,-,T,y,-,-,-,-,o,-,-,-,-,-
nanj1234,-,-,-,-,k,-,-,-,-,-,-,o,-,7,-,-,-
nanc1254,-,-,-,-,k,-,-,-,-,-,-,o,-,7,-,-,-
xian1253,-,-,-,-,t,S,y,-,-,-,-,o,-,-,-,-,-
guil1241,-,-,-,-,k,-,-,-,-,-,-,o,-,u,-,-,-
loud1234,-,-,-,-,k,-,-,-,-,-,-,o,-,-,-,-,-
jixi1238,-,-,-,-,t,S,y,-,-,-,-,o,-,7,n,n,-
jixi1238,-,-,-,-,t,S,y,-,-,-,-,o,-,7,n,n,-
jixi1238,-,-,-,-,k,-,-,-,-,-,-,o,-,7,-,-,-
suzh1234,-,-,-,-,k,-,-,-,-,-,-,o,-,7,-,-,-
ouji1238,-,-,-,-,k,-,-,-,-,-,-,o,-,-,-,-,-
fuzh1239,k,e,i,7,k,-,-,-,-,-,-,o,i,7,-,-,-
fuzh1239,k,e,i,7,k,-,-,-,-,-,-,o,i,7,-,-,-
xiam1236,-,-,-,-,k,-,-,-,-,-,-,a,-,k,-,-,-
